hnn_time_s,hnn_squared_position_error,hnn_cumulative_mse,lqr_time_s,lqr_squared_position_error,lqr_cumulative_mse
3.671291828,0.01343719964,0.1170905007,1.372407913,0.006030751473,0.2994393907
3.720670938,0.01338106049,0.1155874654,1.393795013,0.005387565251,0.2951777701
3.77606678,0.01325705669,0.1141256024,1.412011862,0.005124446987,0.2910341512
3.849243879,0.01310427147,0.1127027667,1.432490826,0.005119347602,0.2870071821
3.899453878,0.01298844238,0.1113178456,1.452507973,0.00531012567,0.283094723
3.947072983,0.01285362644,0.1099690207,1.472371817,0.005395907362,0.2792906296
3.99277401,0.01268999367,0.1086544392,1.492224932,0.00572335965,0.2755937746
4.04202199,0.01260126512,0.1073737302,1.512213945,0.005935804853,0.271998335
4.085598946,0.01248427273,0.1061251847,1.534147024,0.005956614413,0.2684977861
4.163945913,0.01240982287,0.1049081021,1.55192399,0.005991936685,0.2650886192
4.217714787,0.01230885901,0.1037209323,1.572252035,0.005753285361,0.2617638072
4.343647957,0.01224425219,0.1025629997,1.59293294,0.005374618506,0.2585183745
4.429057837,0.01237065964,0.1014355954,1.612820864,0.004915877214,0.2553483433
4.480309963,0.01253643478,0.1003380749,1.632737875,0.004455445925,0.2522509001
4.535287857,0.01269919935,0.09926930814,1.652514935,0.004224811363,0.2492261917
4.589857817,0.01289034529,0.09822859774,1.672152042,0.00389541981,0.2462703992
4.643117905,0.01296783733,0.09721358869,1.694458008,0.003743206515,0.2433831708
4.690781832,0.01313213497,0.09622439512,1.712286949,0.003694729025,0.2405633067
4.740472794,0.01323750364,0.09525943126,1.733093977,0.003854301805,0.2378108765
4.803295851,0.01350054207,0.09431967391,1.75199604,0.004038000181,0.2351238319
4.858462811,0.01381308547,0.09340482632,1.77204299,0.004139623042,0.2324990113
4.90950799,0.01406079942,0.0925133204,1.793508053,0.004377136621,0.2299358442
4.964069843,0.01429640942,0.09164424361,1.812954903,0.004578626378,0.2274318751
5.019295931,0.01457094191,0.09079728425,1.832308054,0.004803978401,0.2249854147
5.069737911,0.01480809032,0.08997131475,1.854096889,0.004922637685,0.222593428
5.122148991,0.01496562646,0.08916480197,1.872143984,0.005188240565,0.2202557378
5.173455954,0.01512376877,0.08837713141,1.892910004,0.005448273853,0.217970552
5.231112003,0.01520310961,0.08760687855,1.912330866,0.005739792874,0.215736544
5.284202814,0.0151688832,0.0868523161,1.932587862,0.005958265041,0.2135513536
5.423780918,0.0150502154,0.08611208825,1.952648878,0.006073150306,0.2114124031
5.492122889,0.01453104046,0.0853816694,1.972415924,0.006234883062,0.2093187549
5.541211843,0.01431328108,0.08466380689,1.992097855,0.006335167001,0.2072684157
5.585739851,0.01407749897,0.08395794381,2.013273001,0.006332499981,0.2052590565
5.629263878,0.01385392078,0.08326384457,2.032135963,0.006253805899,0.2032887075
5.673966885,0.01369879008,0.08258183423,2.052526951,0.006196283147,0.2013564288
5.727180958,0.01358131983,0.08191192633,2.072409868,0.006141211426,0.1994611354
5.780593872,0.01339981172,0.08125315599,2.092505932,0.006096021315,0.1976018555
5.833002806,0.01322151052,0.08060523556,2.112339973,0.006065150382,0.1957776964
5.886453867,0.01303038013,0.07996773693,2.132338047,0.006043415882,0.1939877504
5.931207895,0.01295174362,0.07934141923,2.151768923,0.006054391997,0.1922313638
5.977351904,0.01286385765,0.07872588625,2.175915003,0.006082888637,0.1905077668
6.018656969,0.01281062653,0.0781211591,2.191910982,0.006095791362,0.1888159139
6.069369793,0.0127902049,0.07752724133,2.21388793,0.006122952686,0.1871550688
6.121747971,0.01281043067,0.076944207,2.232781887,0.006115263402,0.1855240795
6.172773838,0.01281852477,0.07637165627,2.252254009,0.006109933818,0.1839221675
6.225368977,0.01287423438,0.07580973218,2.273650885,0.006109900586,0.1823486076
6.279900789,0.01302064515,0.07525895072,2.293015003,0.006081297842,0.1808024031
6.32701087,0.01315837327,0.0747189457,2.312525034,0.006068065753,0.1792829741
6.369966984,0.01334018454,0.07418981844,2.332438946,0.006017842258,0.1777893092
6.417393923,0.01344962263,0.07367067147,2.3522439,0.006033006702,0.1763213066
