Return,Controller
4.438997299620752,LQR
9.658811916910754,LQR
4.691447056171639,LQR
11.395727390984018,LQR
11.112786354810481,LQR
10.606081540017737,LQR
6.653455681933476,LQR
6.390987828784025,LQR
13.430457343153435,LQR
24.343746016223072,LQR
6.30237019140844,LQR
8.633888820289682,LQR
10.724724096211427,LQR
7.26155250434413,LQR
8.177704677028645,LQR
19.748378937229184,LQR
13.567496148443052,LQR
5.376601485876838,LQR
9.42304409541043,LQR
14.094780140503886,LQR
5.388759108166908,LQR
5.175186499210353,LQR
14.17009036808482,LQR
9.746059723870024,LQR
28.36707054211544,LQR
14.223381565223796,LQR
25.632968044733758,LQR
4.334889589780202,LQR
9.656347209439923,LQR
21.510060001948485,LQR
6.416640318546654,LQR
11.309578909097109,LQR
1.839029707891092,LQR
10.274992336599048,LQR
16.332437964218006,LQR
3.4209410369924447,LQR
7.8851198021661295,LQR
10.821750793898877,LQR
4.062526491647363,LQR
6.224270994233536,LQR
3.0974971261249324,LQR
13.315598487351155,LQR
7.823723445371692,LQR
6.370963822936738,LQR
6.998615592708152,LQR
8.187391180986403,LQR
7.927086636398585,LQR
17.100819328822965,LQR
16.701280300714416,LQR
19.27483045626906,LQR
4.4384523537895495,SIREN
4.556576981181028,SIREN
4.3582426929890286,SIREN
10.959255028601765,SIREN
10.85891002582969,SIREN
8.480880391975802,SIREN
6.414636048260514,SIREN
6.29464697983648,SIREN
14.806040653814254,SIREN
17.32115869328798,SIREN
6.332400525957323,SIREN
7.0403562313020505,SIREN
8.895485427668437,SIREN
6.4502535413760596,SIREN
8.172229117579956,SIREN
14.81244004066632,SIREN
12.38011643334276,SIREN
4.028989905283829,SIREN
5.92463025287502,SIREN
11.60320378101724,SIREN
2.7814291224014824,SIREN
5.508191532154518,SIREN
12.311285752511795,SIREN
7.525938537051833,SIREN
25.949719410662993,SIREN
9.30381117833947,SIREN
20.14079858833028,SIREN
3.4074427172295665,SIREN
6.129427535147869,SIREN
11.681890399512001,SIREN
4.432783548299296,SIREN
11.409160929535263,SIREN
1.7449121528915132,SIREN
8.33932572318881,SIREN
11.314766427579169,SIREN
3.5189888057251113,SIREN
6.936670623312184,SIREN
8.056121316293906,SIREN
3.115514937494125,SIREN
6.116763005154133,SIREN
3.2999967927380016,SIREN
7.394223044817416,SIREN
8.181570851116268,SIREN
5.53330359370383,SIREN
7.575982439019688,SIREN
8.496995500044365,SIREN
6.088591712866644,SIREN
11.124458165160666,SIREN
6.757882087073857,SIREN
10.795986738216827,SIREN
4.476579045978416,MLP
5.090045185689648,MLP
