时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895681.010201	0.140920	0.728240	2.479878	-2.041191
1782895681.050843	0.141344	0.706263	2.473469	-2.047987
1782895681.089067	0.155077	0.720533	2.378651	-2.082475
1782895681.123872	0.186167	0.580982	2.056672	-2.072706
1782895681.166801	0.207485	0.386097	1.644888	-1.934405
1782895681.204910	0.213294	0.240067	1.008547	-1.582320
1782895681.241338	0.207239	0.157403	0.496806	-1.255901
1782895681.279326	0.208687	0.042471	-0.053895	-0.900903
1782895681.321819	0.214600	0.023244	-0.286345	-0.738292
1782895681.359637	0.218703	-0.048865	-0.433701	-0.627751
1782895681.396212	0.225254	-0.131386	-0.465157	-0.578786
1782895681.434537	0.233168	-0.222242	-0.518829	-0.555592
1782895681.522514	0.248200	-0.259002	-0.442906	-0.534564
1782895681.577955	0.292596	-0.158060	-0.212242	-0.460530
1782895681.662467	0.316709	-0.101834	0.008910	-0.418663
1782895681.738980	0.338886	0.019468	0.296181	-0.359242
1782895681.787393	0.320340	0.072957	0.570081	-0.335897
1782895681.827839	0.307260	0.032547	0.674948	-0.319476
1782895681.863682	0.293380	0.026184	0.669713	-0.308963
1782895681.897557	0.284006	0.051056	0.571344	-0.294150
1782895681.938771	0.270204	0.074211	0.528751	-0.287879
1782895681.971486	0.258469	0.059691	0.418708	-0.260867
1782895682.004229	0.255815	0.044332	0.341528	-0.241752
1782895682.049042	0.249144	0.040014	0.313498	-0.231308
1782895682.095547	0.248960	0.025897	0.299585	-0.214149
1782895682.130214	0.248877	-0.074574	0.306431	-0.201241
1782895682.168707	0.253449	-0.101178	0.348136	-0.187333
1782895682.206717	0.255364	-0.095634	0.417233	-0.176378
1782895682.296644	0.261950	-0.107624	0.437201	-0.166205
1782895682.374431	0.257759	-0.148903	0.518794	-0.138266
1782895682.416481	0.260380	-0.175896	0.569578	-0.111223
1782895682.458924	0.263599	-0.196106	0.616166	-0.100931
1782895682.497861	0.260294	-0.231359	0.630841	-0.092928
1782895682.534951	0.260086	-0.222327	0.654575	-0.090932
1782895682.610551	0.261194	-0.248848	0.655139	-0.087514
1782895682.659482	0.266521	-0.174636	0.579709	-0.088437
1782895682.697446	0.268816	-0.168952	0.568066	-0.086898
1782895682.731461	0.269396	-0.136045	0.570996	-0.085188
1782895682.772893	0.273865	-0.138866	0.520885	-0.082635
1782895682.814529	0.274759	-0.140126	0.498441	-0.075675
1782895682.857884	0.273638	-0.084562	0.510856	-0.071966
1782895682.897626	0.278206	-0.068397	0.497614	-0.065903
1782895682.937527	0.278609	-0.050504	0.487457	-0.062088
1782895682.976969	0.276023	-0.046730	0.454998	-0.053018
1782895683.015973	0.277580	-0.038162	0.427116	-0.047669
1782895683.061632	0.271846	-0.067820	0.448718	-0.043098
1782895683.094923	0.264028	-0.033505	0.425633	-0.032736
1782895683.130089	0.264908	-0.024798	0.412709	-0.028842
1782895683.168649	0.263297	0.006096	0.425000	-0.020768
1782895683.205257	0.260226	-0.030472	0.429159	-0.017967
1782895683.239652	0.260944	-0.019352	0.437062	-0.012306
1782895683.276799	0.255746	0.001920	0.417834	-0.004278
1782895683.322624	0.258135	0.009059	0.407917	-0.001995
1782895683.366978	0.257390	-0.003943	0.414040	0.002908
1782895683.401639	0.260123	-0.022844	0.411444	0.004249
1782895683.437502	0.265515	-0.028889	0.385098	0.009583
1782895683.481257	0.266801	-0.048646	0.367963	0.008559
1782895683.520126	0.268789	-0.060846	0.379897	0.009609
1782895683.560674	0.267393	-0.070216	0.351018	0.010820
1782895683.599221	0.267707	-0.068715	0.359400	0.011006
1782895683.640527	0.270227	-0.056001	0.373865	0.013804
1782895683.727444	0.272656	-0.048373	0.372478	0.013370
1782895683.765727	0.270787	-0.020272	0.398794	0.018631
1782895683.800987	0.272856	-0.011861	0.400238	0.019662
1782895683.844047	0.271742	-0.015825	0.418323	0.020366
1782895683.891949	0.271651	0.003534	0.417086	0.023213
1782895683.935862	0.271086	-0.022577	0.396059	0.023583
1782895684.000825	0.265396	-0.018883	0.404484	0.026220
1782895684.032755	0.264828	-0.054796	0.405282	0.024962
1782895684.069791	0.263997	-0.047760	0.409098	0.026266
1782895684.108634	0.263319	-0.060975	0.401468	0.027059
1782895684.148304	0.263832	-0.071025	0.418458	0.026525
1782895684.183657	0.268717	-0.055860	0.383440	0.031458
1782895684.221357	0.270735	-0.055387	0.388047	0.033084
1782895684.268638	0.273526	-0.088404	0.377488	0.031804
1782895684.303451	0.268661	-0.085511	0.407813	0.031600
1782895684.340630	0.268681	-0.089580	0.431750	0.031940
1782895684.380762	0.270733	-0.077587	0.429422	0.034000
1782895684.409688	0.269610	-0.061117	0.408056	0.035326
1782895684.441359	0.270538	-0.059083	0.413937	0.037028
1782895684.481333	0.271566	-0.083029	0.418554	0.034926
1782895684.515012	0.266923	-0.095226	0.436005	0.033525
1782895684.559347	0.273279	-0.060186	0.428375	0.037404
1782895684.605279	0.272901	-0.069278	0.449981	0.036651
1782895684.642991	0.272727	-0.093941	0.447752	0.035372
1782895684.725635	0.269712	-0.098870	0.458224	0.034401
1782895684.849235	0.271072	-0.085857	0.455925	0.036308
1782895684.889310	0.268826	-0.059011	0.489501	0.041560
1782895684.927522	0.270860	-0.033929	0.482803	0.043555
1782895684.959998	0.268833	-0.021150	0.475876	0.045569
1782895684.999002	0.270004	-0.020103	0.461900	0.046899
1782895685.044025	0.269020	-0.009214	0.440157	0.049164
1782895685.075515	0.265385	-0.032129	0.448865	0.046545
1782895685.118557	0.267719	-0.029954	0.438545	0.047388
1782895685.156858	0.263632	-0.046536	0.428734	0.046058
1782895685.190228	0.263337	-0.031685	0.429930	0.045800
1782895685.224149	0.265862	0.002401	0.417265	0.050375
1782895685.265116	0.263869	-0.046933	0.430430	0.044462
1782895685.348471	0.260628	-0.009844	0.410468	0.047965
1782895685.406706	0.264615	-0.051410	0.421608	0.042338
1782895685.470429	0.262816	-0.041129	0.416350	0.042284
1782895685.509251	0.258944	-0.021077	0.417036	0.042584
1782895685.553373	0.258832	-0.040434	0.409961	0.040016
1782895685.587200	0.259546	-0.042687	0.406448	0.038928
1782895685.624546	0.259712	-0.050591	0.437881	0.036829
1782895685.666520	0.261956	-0.078236	0.409488	0.036332
1782895685.703134	0.257536	-0.074111	0.435583	0.034088
