时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895823.445282	0.129295	0.634410	2.647422	-1.684402
1782895823.486823	0.128828	0.664195	2.657794	-1.676062
1782895823.537718	0.131076	0.638221	2.607443	-1.696786
1782895823.611422	0.184358	0.306323	1.865701	-1.580765
1782895823.656901	0.193251	0.026520	0.642932	-1.000246
1782895823.690647	0.215064	-0.050696	-0.280519	-0.557018
1782895823.728084	0.231166	-0.029606	-0.653734	-0.355075
1782895823.785400	0.231193	-0.041786	-0.861461	-0.269494
1782895823.834501	0.229463	-0.127310	-0.880475	-0.269368
1782895823.879252	0.237720	-0.205870	-0.755483	-0.299800
1782895823.920647	0.248678	-0.283817	-0.468971	-0.350809
1782895823.983039	0.274746	-0.298986	-0.324914	-0.339800
1782895824.013485	0.299742	-0.251850	-0.111052	-0.317034
1782895824.048013	0.305637	-0.216846	0.041529	-0.305421
1782895824.098119	0.315768	-0.141533	0.118639	-0.283234
1782895824.140292	0.309870	-0.071846	0.234151	-0.270253
1782895824.173255	0.305200	-0.030989	0.289236	-0.247326
1782895824.251230	0.298877	-0.030608	0.320713	-0.242503
1782895824.369730	0.269160	-0.045186	0.341657	-0.220177
1782895824.415645	0.238728	-0.136953	0.331614	-0.190059
1782895824.458683	0.224242	-0.158388	0.376719	-0.188594
1782895824.499931	0.217615	-0.208749	0.364074	-0.175112
1782895824.542714	0.215740	-0.228967	0.344243	-0.167663
1782895824.579225	0.225147	-0.185891	0.367903	-0.158631
1782895824.631150	0.230031	-0.226900	0.387064	-0.148674
1782895824.700959	0.245586	-0.223187	0.463194	-0.132259
1782895824.742572	0.266279	-0.205472	0.506643	-0.113941
1782895824.779407	0.277843	-0.135714	0.524824	-0.108649
1782895824.825561	0.284270	-0.134221	0.493493	-0.103179
1782895824.868814	0.288495	-0.135611	0.552486	-0.093200
1782895824.902189	0.288298	-0.132897	0.590737	-0.090085
1782895824.940213	0.288907	-0.136632	0.576383	-0.086094
1782895824.980290	0.281253	-0.161034	0.617672	-0.080565
1782895825.019076	0.274880	-0.116717	0.633995	-0.082400
1782895825.052450	0.272959	-0.115885	0.619153	-0.076648
1782895825.090573	0.272978	-0.103876	0.571577	-0.073105
1782895825.136693	0.269120	-0.040812	0.577155	-0.070464
1782895825.198738	0.264691	-0.045507	0.591786	-0.060060
1782895825.244746	0.262757	-0.071217	0.601005	-0.054635
1782895825.279698	0.261732	-0.053395	0.563462	-0.048324
1782895825.314148	0.260294	-0.077866	0.540874	-0.044916
1782895825.355493	0.260900	-0.066482	0.529368	-0.041060
1782895825.396422	0.260087	-0.086312	0.538682	-0.038415
1782895825.432725	0.261146	-0.080962	0.506728	-0.035310
1782895825.474052	0.266199	-0.049835	0.495280	-0.030389
1782895825.514306	0.270755	-0.073221	0.462613	-0.026839
1782895825.558364	0.267072	-0.041647	0.461417	-0.023025
1782895825.599000	0.269334	-0.025559	0.434339	-0.017192
1782895825.630236	0.272104	-0.036164	0.406938	-0.014459
1782895825.669894	0.270209	-0.045375	0.398354	-0.014330
1782895825.707439	0.269304	-0.037219	0.384900	-0.012428
1782895825.781035	0.268706	-0.064267	0.385342	-0.013226
1782895825.835265	0.265658	-0.096918	0.374036	-0.015315
1782895825.867252	0.263034	-0.021299	0.382762	-0.010334
1782895825.909138	0.265423	-0.038472	0.387973	-0.012124
1782895825.943840	0.261748	-0.039054	0.378022	-0.011001
1782895825.986081	0.256114	-0.038392	0.405815	-0.012123
1782895826.020690	0.258601	-0.006750	0.402713	-0.008572
1782895826.059742	0.257393	-0.051983	0.413660	-0.011159
1782895826.101227	0.258140	-0.054200	0.428653	-0.010155
