时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895750.599318	0.139001	0.737801	2.554742	-1.901156
1782895750.642651	0.138378	0.774971	2.565777	-1.888514
1782895750.687558	0.156386	0.697338	2.405286	-1.932943
1782895750.725208	0.184191	0.561351	2.070418	-1.883896
1782895750.763667	0.207696	0.316081	1.445463	-1.633784
1782895750.801728	0.205139	0.175233	0.777420	-1.233636
1782895750.844535	0.204578	0.042701	0.239240	-0.927539
1782895750.881674	0.214302	0.030158	-0.152650	-0.680394
1782895750.920890	0.218444	-0.069629	-0.398232	-0.560036
1782895750.958927	0.222958	-0.149212	-0.483858	-0.502005
1782895751.003704	0.231274	-0.166484	-0.471632	-0.478522
1782895751.046547	0.242680	-0.226036	-0.449549	-0.459675
1782895751.080109	0.259985	-0.260304	-0.361638	-0.438345
1782895751.118144	0.275242	-0.249085	-0.276543	-0.420223
1782895751.180778	0.285486	-0.188606	-0.160732	-0.401360
1782895751.214662	0.311452	-0.074602	-0.001996	-0.350494
1782895751.307213	0.316659	-0.051071	0.105314	-0.331129
1782895751.360585	0.318803	-0.032863	0.323990	-0.285108
1782895751.395812	0.298749	-0.040999	0.466735	-0.265892
1782895751.435076	0.291621	-0.073085	0.523592	-0.259756
1782895751.479527	0.272183	-0.077973	0.535626	-0.253738
1782895751.520921	0.269173	-0.097148	0.470674	-0.236598
1782895751.555353	0.257871	-0.116556	0.441359	-0.221209
1782895751.595177	0.256392	-0.111115	0.418444	-0.212580
1782895751.640245	0.257245	-0.066677	0.356553	-0.200296
1782895751.754054	0.254839	-0.112728	0.338263	-0.181754
1782895751.843057	0.260559	-0.119718	0.345906	-0.155102
1782895751.908516	0.270221	-0.114127	0.404557	-0.135234
1782895751.942652	0.273410	-0.076187	0.437285	-0.125501
1782895751.983397	0.272938	-0.088428	0.469623	-0.119496
1782895752.021468	0.270794	-0.095009	0.505173	-0.114336
1782895752.066387	0.271739	-0.045217	0.508418	-0.112093
1782895752.099778	0.272708	-0.075179	0.519476	-0.101047
1782895752.138383	0.267880	-0.112076	0.526253	-0.095387
1782895752.179811	0.262356	-0.164802	0.586556	-0.088811
1782895752.223803	0.262357	-0.165836	0.617991	-0.083172
1782895752.266814	0.260646	-0.169862	0.588622	-0.078255
1782895752.298718	0.258323	-0.138525	0.587062	-0.076716
1782895752.391728	0.259508	-0.191640	0.564973	-0.071856
