时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895704.643029	0.151891	0.842741	2.252211	-2.414488
1782895704.685653	0.149612	0.854384	2.254912	-2.408257
1782895704.734697	0.159444	0.827464	2.201550	-2.439692
1782895704.769178	0.222231	0.638209	1.683062	-2.396816
1782895704.802724	0.237708	0.440210	1.114915	-2.131233
1782895704.845973	0.235261	0.353343	0.777304	-1.927570
1782895704.891649	0.218362	0.195648	0.353982	-1.591201
1782895704.927853	0.211350	0.078857	0.002893	-1.298342
1782895704.965858	0.210455	-0.026938	-0.238843	-1.112314
1782895705.004544	0.214698	-0.103705	-0.370259	-0.979708
1782895705.054231	0.222939	-0.174181	-0.458294	-0.904573
1782895705.093261	0.238843	-0.227457	-0.494893	-0.823735
1782895705.132395	0.251417	-0.239270	-0.502321	-0.775339
1782895705.174602	0.262572	-0.187511	-0.378245	-0.748973
1782895705.216412	0.282554	-0.100421	-0.311364	-0.695091
1782895705.258697	0.293985	-0.054697	-0.222802	-0.661974
1782895705.298065	0.305409	-0.034667	-0.112582	-0.612220
1782895705.333097	0.304597	-0.021193	0.059959	-0.585738
1782895705.380603	0.305352	0.000608	0.116429	-0.550865
1782895705.423036	0.299433	-0.008684	0.187528	-0.515918
1782895705.486490	0.294312	0.052851	0.247217	-0.498157
1782895705.563373	0.290061	0.065163	0.318945	-0.439519
1782895705.598758	0.278215	0.053795	0.381385	-0.389556
1782895705.634445	0.268501	0.025197	0.451157	-0.376809
1782895705.679226	0.266925	0.015727	0.453425	-0.355580
1782895705.718814	0.257649	-0.044872	0.529832	-0.334457
1782895705.763638	0.256864	-0.088779	0.513162	-0.317164
1782895705.803595	0.253732	-0.097306	0.484188	-0.292647
1782895705.840065	0.253273	-0.118720	0.490898	-0.277439
1782895705.883279	0.253780	-0.182607	0.509352	-0.253333
1782895705.922775	0.252639	-0.209184	0.551239	-0.244214
1782895705.959461	0.253126	-0.236626	0.565023	-0.228531
