鏃堕棿(s)	浣嶇疆x(m)	浣嶇疆y(m)	浣嶇疆z(m)	娆ф媺瑙抮oll(rad)	娆ф媺瑙抪itch(rad)	娆ф媺瑙抷aw(rad)	閫熷害x(m/s)	閫熷害y(m/s)	閫熷害z(m/s)
1782895722.440626	-0.526835	-0.009541	1.290121	0.012376	0.002974	0.170811	0.052550	-0.016040	0.002125
1782895722.450356	-0.526418	-0.009669	1.290071	0.010060	0.002449	0.173784	0.052284	-0.014067	0.027815
1782895722.460163	-0.525992	-0.009525	1.290261	0.009763	0.001474	0.177499	0.052284	-0.014067	0.027815
1782895722.470716	-0.525574	-0.009399	1.290505	0.011419	0.000943	0.180687	0.052284	-0.014067	0.027815
1782895722.479916	-0.525041	-0.009298	1.290711	0.007904	0.001571	0.184896	0.054949	-0.019637	0.031986
1782895722.491917	-0.524598	-0.009271	1.291070	0.004425	0.002107	0.189303	0.051543	-0.013968	0.032036
1782895722.499775	-0.524598	-0.009271	1.291070	0.004425	0.002107	0.189303	0.051543	-0.013968	0.032036
1782895722.510096	-0.524144	-0.009332	1.291115	0.005543	0.001582	0.192081	0.051543	-0.013968	0.032036
1782895722.520582	-0.523816	-0.009067	1.291460	0.004762	0.003282	0.194951	0.056748	-0.021480	0.042902
1782895722.529896	-0.523332	-0.009100	1.291790	0.007752	0.002105	0.197708	0.056748	-0.021480	0.042902
1782895722.539967	-0.522807	-0.009209	1.292141	0.005920	0.004349	0.202143	0.054651	-0.017859	0.035803
1782895722.551676	-0.522288	-0.009024	1.292500	0.006619	0.004310	0.204716	0.057129	-0.015339	0.046401
1782895722.560066	-0.52184	-0.008896	1.292846	0.005258	0.003967	0.206530	0.057129	-0.015339	0.046401
1782895722.571635	-0.521269	-0.009020	1.293209	0.007671	0.003042	0.210780	0.062115	-0.021970	0.042998
1782895722.580540	-0.520783	-0.008911	1.293758	0.007108	0.002667	0.215065	0.062115	-0.021970	0.042998
1782895722.590277	-0.520783	-0.008911	1.293758	0.007108	0.002667	0.215065	0.057911	-0.017819	0.034595
1782895722.601107	-0.519877	-0.009096	1.294546	0.001049	0.004231	0.220588	0.057911	-0.017819	0.034595
1782895722.610351	-0.519877	-0.009096	1.294546	0.001049	0.004231	0.220588	0.061024	-0.018639	0.038440
1782895722.620095	-0.519329	-0.009018	1.294943	0.004502	0.004529	0.224772	0.061024	-0.018639	0.038440
1782895722.629942	-0.518777	-0.008727	1.295206	0.003832	0.004681	0.227999	0.060738	-0.022937	0.031559
1782895722.639935	-0.518286	-0.008709	1.295603	0.005384	0.005474	0.231499	0.060738	-0.022937	0.031559
1782895722.654353	-0.517767	-0.008609	1.295891	0.007500	0.003576	0.233835	0.058673	-0.017688	0.026683
1782895722.660068	-0.517163	-0.008576	1.296192	0.007962	0.003921	0.237304	0.058673	-0.017688	0.026683
1782895722.671291	-0.516847	-0.008535	1.296428	0.005204	0.003948	0.240732	0.061427	-0.016314	0.030285
1782895722.679713	-0.516373	-0.008597	1.296665	0.005253	0.002808	0.245083	0.061427	-0.016314	0.030285
1782895722.690968	-0.515785	-0.008449	1.297033	0.005774	0.003012	0.249248	0.059101	-0.019713	0.025224
1782895722.700307	-0.515785	-0.008449	1.297033	0.005774	0.003012	0.249248	0.059101	-0.019713	0.025224
1782895722.710696	-0.515293	-0.008348	1.297315	0.005003	0.003058	0.250491	0.056499	-0.015272	0.024579
1782895722.719676	-0.514581	-0.008358	1.297509	0.005510	0.004103	0.252759	0.056499	-0.015272	0.024579
1782895722.729874	-0.51421	-0.008175	1.297676	0.006394	0.003212	0.255296	0.056499	-0.015272	0.024579
1782895722.741557	-0.51349	-0.008058	1.297971	0.002868	0.005879	0.258847	0.062315	-0.016308	0.024551
1782895722.753520	-0.513157	-0.007890	1.297986	0.002414	0.004884	0.263842	0.060976	-0.018140	0.020869
1782895722.760041	-0.512593	-0.007900	1.298017	0.004847	0.004559	0.267310	0.060976	-0.018140	0.020869
1782895722.769886	-0.511943	-0.007922	1.298230	0.004292	0.005908	0.269466	0.061491	-0.013932	0.016982
1782895722.779703	-0.511348	-0.007893	1.298462	0.003268	0.006311	0.271770	0.061491	-0.013932	0.016982
1782895722.789742	-0.510913	-0.007571	1.298533	0.005071	0.006078	0.274279	0.069033	-0.014480	0.015269
1782895722.799661	-0.510913	-0.007571	1.298533	0.005071	0.006078	0.274279	0.069033	-0.014480	0.015269
1782895722.810580	-0.51022	-0.007460	1.298689	0.007036	0.006064	0.277253	0.069033	-0.014480	0.015269
1782895722.822772	-0.509578	-0.007445	1.298699	0.008115	0.005626	0.279890	0.067656	-0.018601	0.005391
1782895722.832223	-0.50911	-0.007334	1.298741	0.008153	0.004170	0.283284	0.067656	-0.018601	0.005391
1782895722.845927	-0.50853	-0.007180	1.298645	0.006819	0.004630	0.286526	0.065909	-0.016860	0.001981
1782895722.852760	-0.507962	-0.007185	1.298577	0.007809	0.002898	0.289700	0.065909	-0.016860	0.001981
1782895722.861693	-0.507384	-0.006934	1.298565	0.012035	0.001451	0.291993	0.070813	-0.015764	0.002469
1782895722.872689	-0.506977	-0.006828	1.298610	0.010309	0.004227	0.293151	0.070933	-0.019056	-0.002393
1782895722.881879	-0.506977	-0.006828	1.298610	0.010309	0.004227	0.293151	0.070933	-0.019056	-0.002393
1782895722.891938	-0.505588	-0.006709	1.298561	0.011765	0.002510	0.299290	0.068830	-0.015571	-0.005036
1782895722.900455	-0.505116	-0.006744	1.298487	0.012524	0.003532	0.302748	0.068830	-0.015571	-0.005036
1782895722.910543	-0.505116	-0.006744	1.298487	0.012524	0.003532	0.302748	0.068830	-0.015571	-0.005036
1782895722.922487	-0.504728	-0.006644	1.298333	0.008102	0.002586	0.304867	0.070861	-0.014483	-0.003169
1782895722.930309	-0.504074	-0.006471	1.298179	0.011075	0.001171	0.308586	0.068474	-0.019683	-0.003642
1782895722.942683	-0.50347	-0.006318	1.298288	0.010050	0.002237	0.309934	0.068474	-0.019683	-0.003642
1782895722.951915	-0.502788	-0.006160	1.298333	0.012697	0.000272	0.311591	0.068474	-0.019683	-0.003642
1782895722.961174	-0.502318	-0.006044	1.298387	0.008788	0.002272	0.313397	0.064719	-0.017089	-0.003000
1782895722.970294	-0.501666	-0.006014	1.298183	0.007883	0.002491	0.318001	0.064719	-0.017089	-0.003000
1782895722.981131	-0.501132	-0.005932	1.298193	0.009868	0.002231	0.319564	0.068880	-0.016644	0.005619
1782895722.991052	-0.501132	-0.005932	1.298193	0.009868	0.002231	0.319564	0.068880	-0.016644	0.005619
1782895723.001043	-0.500077	-0.005742	1.298266	0.005178	0.001495	0.326867	0.063649	-0.018218	0.008872
1782895723.011213	-0.500077	-0.005742	1.298266	0.005178	0.001495	0.326867	0.061908	-0.014009	0.011881
1782895723.020927	-0.49964	-0.005594	1.298375	0.007133	0.001841	0.328273	0.061908	-0.014009	0.011881
1782895723.035928	-0.499053	-0.005416	1.298630	0.010418	0.000101	0.330631	0.065130	-0.019097	0.022048
1782895723.040557	-0.498362	-0.005224	1.298568	0.011647	-0.000229	0.333404	0.065130	-0.019097	0.022048
1782895723.051010	-0.497949	-0.004985	1.298919	0.008233	-0.000244	0.335088	0.057889	-0.017818	0.014841
1782895723.068883	-0.496869	-0.005118	1.299293	0.011517	-0.001670	0.340002	0.057889	-0.017818	0.014841
1782895723.076999	-0.496869	-0.005118	1.299293	0.011517	-0.001670	0.340002	0.056490	-0.013010	0.027932
1782895723.097299	-0.496424	-0.005085	1.299636	0.011671	-0.003435	0.342192	0.056490	-0.013010	0.027932
1782895723.100867	-0.495328	-0.004991	1.300100	0.010833	-0.002061	0.348776	0.057607	-0.018109	0.025156
1782895723.106534	-0.495328	-0.004991	1.300100	0.010833	-0.002061	0.348776	0.057607	-0.018109	0.025156
1782895723.112692	-0.495328	-0.004991	1.300100	0.010833	-0.002061	0.348776	0.051122	-0.010354	0.017035
1782895723.119636	-0.494844	-0.004861	1.300286	0.014388	-0.003219	0.350684	0.051122	-0.010354	0.017035
1782895723.132625	-0.494274	-0.004754	1.300442	0.013109	-0.002676	0.352183	0.052504	-0.015773	0.031287
1782895723.140942	-0.493938	-0.004626	1.300607	0.013649	-0.003945	0.355084	0.052504	-0.015773	0.031287
1782895723.151389	-0.493468	-0.004442	1.300838	0.017104	-0.004886	0.356406	0.051154	-0.018094	0.013382
1782895723.160156	-0.492877	-0.004281	1.301133	0.016795	-0.005985	0.359851	0.051154	-0.018094	0.013382
1782895723.171200	-0.492489	-0.004387	1.301288	0.013544	-0.005909	0.363034	0.043747	-0.012465	0.011336
1782895723.179841	-0.492175	-0.004333	1.301379	0.012915	-0.006046	0.365349	0.043747	-0.012465	0.011336
1782895723.190267	-0.491565	-0.004470	1.301362	0.014688	-0.005749	0.367717	0.043747	-0.012465	0.011336
1782895723.201181	-0.491565	-0.004470	1.301362	0.014688	-0.005749	0.367717	0.047644	-0.016843	0.019176
1782895723.209539	-0.491224	-0.004301	1.301433	0.013733	-0.004498	0.369185	0.047644	-0.016843	0.019176
1782895723.220414	-0.490693	-0.004106	1.301447	0.014981	-0.004315	0.371240	0.047444	-0.018621	0.000524
1782895723.230502	-0.490313	-0.003942	1.301317	0.011723	-0.004867	0.373540	0.040847	-0.013440	-0.009642
1782895723.239746	-0.489837	-0.004041	1.301226	0.008737	-0.006047	0.377301	0.040847	-0.013440	-0.009642
1782895723.252794	-0.489458	-0.004087	1.300922	0.010973	-0.005671	0.379570	0.043034	-0.017481	-0.005831
1782895723.259492	-0.489208	-0.004029	1.300988	0.009292	-0.005284	0.382390	0.043034	-0.017481	-0.005831
1782895723.269490	-0.488928	-0.003869	1.300572	0.007041	-0.004155	0.383384	0.046707	-0.021687	-0.021266
1782895723.280018	-0.488421	-0.003789	1.300324	0.007414	-0.002711	0.385771	0.046707	-0.021687	-0.021266
1782895723.291393	-0.487974	-0.003624	1.299948	0.009563	-0.004139	0.388837	0.038011	-0.014687	-0.030972
1782895723.300253	-0.487974	-0.003624	1.299948	0.009563	-0.004139	0.388837	0.038011	-0.014687	-0.030972
1782895723.309904	-0.487766	-0.003657	1.299686	0.012508	-0.005867	0.391120	0.038011	-0.014687	-0.030972
1782895723.320828	-0.487633	-0.003661	1.299356	0.014323	-0.008042	0.393195	0.040011	-0.016911	-0.018195
1782895723.330911	-0.487286	-0.003704	1.299039	0.014153	-0.009419	0.395963	0.040818	-0.018972	-0.025473
1782895723.339788	-0.486825	-0.003676	1.298483	0.012152	-0.007632	0.398359	0.040818	-0.018972	-0.025473
1782895723.351328	-0.486496	-0.003637	1.298422	0.008199	-0.005671	0.399924	0.040818	-0.018972	-0.025473
1782895723.360296	-0.48617	-0.003556	1.298213	0.008983	-0.006099	0.401199	0.032382	-0.013123	-0.022566
1782895723.370402	-0.485797	-0.003491	1.297858	0.009121	-0.006352	0.403943	0.036433	-0.017551	-0.006421
1782895723.379735	-0.485662	-0.003421	1.297731	0.006921	-0.006688	0.406348	0.036433	-0.017551	-0.006421
