时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782895776.306343	0.150043	0.793664	2.449796	-2.113606
1782895776.355525	0.148187	0.822753	2.462725	-2.108212
1782895776.401780	0.172119	0.756181	2.283615	-2.163822
1782895776.445325	0.207050	0.553721	1.850615	-2.089962
1782895776.483922	0.220171	0.383352	1.259926	-1.801330
1782895776.520741	0.214528	0.252499	0.757027	-1.491967
1782895776.560525	0.208012	0.135852	0.332602	-1.209063
1782895776.604104	0.212003	0.044369	-0.050008	-0.908824
1782895776.648830	0.216882	-0.056888	-0.232041	-0.796347
1782895776.687960	0.224991	-0.121895	-0.333506	-0.699237
1782895776.723257	0.234526	-0.178790	-0.398513	-0.646666
1782895776.771925	0.247936	-0.208510	-0.357425	-0.608671
1782895776.861405	0.263802	-0.179235	-0.273819	-0.578386
1782895776.898582	0.305408	-0.137576	-0.039264	-0.494030
1782895776.939193	0.314021	-0.105845	0.081244	-0.470411
1782895776.982593	0.322310	-0.074860	0.168557	-0.441652
1782895777.033248	0.329744	-0.017745	0.180898	-0.399234
1782895777.065377	0.317000	-0.061060	0.243689	-0.367428
1782895777.100229	0.314918	-0.060312	0.279203	-0.348046
1782895777.142615	0.303925	-0.030342	0.292950	-0.337622
1782895777.184562	0.289238	-0.060258	0.313391	-0.319749
1782895777.229275	0.273485	-0.099039	0.338001	-0.307855
1782895777.266201	0.256147	-0.108144	0.334345	-0.291690
1782895777.299949	0.250036	-0.122040	0.329911	-0.274349
1782895777.343152	0.241485	-0.125409	0.326811	-0.264932
1782895777.383581	0.233912	-0.132215	0.295533	-0.248156
1782895777.415971	0.239599	-0.128495	0.303803	-0.237746
1782895777.449996	0.243712	-0.162101	0.322693	-0.225078
1782895777.493101	0.253208	-0.171813	0.364361	-0.208583
1782895777.535676	0.259134	-0.146489	0.348564	-0.196455
1782895777.568625	0.268883	-0.162076	0.407014	-0.179520
1782895777.608827	0.272542	-0.154922	0.441046	-0.169481
1782895777.654669	0.272998	-0.198054	0.464765	-0.156579
1782895777.689352	0.278015	-0.172740	0.504860	-0.147283
1782895777.726943	0.279021	-0.157314	0.506630	-0.142167
1782895777.764284	0.277932	-0.103819	0.524899	-0.143260
1782895777.810862	0.273881	-0.116440	0.535081	-0.137036
1782895777.847074	0.269717	-0.129637	0.561632	-0.129215
