时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782912384.641738	0.000000	0.681693	-1.677587	-0.696730
1782912384.696099	0.000000	0.669969	-1.658881	-0.692760
1782912384.753627	0.002671	0.423721	-0.962724	-0.800123
1782912384.803498	0.073137	0.061018	-0.111087	-0.750492
1782912384.847564	0.123053	-0.298542	0.674177	-0.574232
1782912384.895827	0.130036	-0.379174	0.930592	-0.531152
1782912384.948512	0.139520	-0.530492	1.190644	-0.421046
1782912384.995534	0.146381	-0.554280	1.282629	-0.397722
1782912385.045560	0.154718	-0.509660	1.198601	-0.396027
1782912385.094445	0.183925	-0.495524	1.089630	-0.361858
1782912385.145957	0.222384	-0.386705	0.928662	-0.320582
1782912385.198548	0.295984	-0.265436	0.707941	-0.248467
1782912385.252793	0.368582	-0.102527	0.509587	-0.200997
1782912385.305249	0.416693	-0.033635	0.329244	-0.180871
1782912385.359598	0.435203	0.003600	0.164071	-0.171923
1782912385.415942	0.390367	-0.048114	0.076786	-0.168135
1782912385.469830	0.335236	-0.146203	0.059364	-0.139845
1782912385.547843	0.246665	-0.129368	0.048861	-0.112600
1782912385.626587	0.143527	-0.138123	0.123751	-0.084117
1782912385.675482	0.063779	-0.035078	0.304489	-0.040419
1782912385.720491	0.029777	0.051654	0.402027	-0.014330
1782912385.766630	0.008305	0.083094	0.480595	-0.001932
1782912385.808037	0.000000	0.170107	0.518555	0.002526
1782912385.853669	0.003426	0.228018	0.544539	0.000161
1782912385.944910	0.013761	0.270490	0.565100	-0.013408
1782912386.015404	0.045066	0.332350	0.428697	-0.063568
1782912386.074514	0.072120	0.208186	0.271355	-0.111441
1782912386.123424	0.130432	0.165825	0.175545	-0.142246
1782912386.178601	0.205519	0.054765	0.150702	-0.155434
1782912386.233774	0.275669	0.002736	0.157033	-0.139134
1782912386.280714	0.362276	0.016028	0.193804	-0.114615
1782912386.335787	0.413836	0.022142	0.215098	-0.097738
