label,samples,duration_s,integrated_cost,mean_cost,max_cost,final_cost,mse_duration_s,target_position_mse_integral,target_position_time_mse,target_position_sample_mse,detail_csv
20260630_231529,329,4.994075059890747,13.456625864318317,2.7489027141437394,19.617564077459704,0.9793482753180999,7.67331600189209,0.3790919251310482,0.049403924592388945,0.050772595778873025,D:\semixcode\lqr\performance_outputs\performance_20260630_231529.csv
20260630_231626,329,4.992792844772339,15.433394253862613,3.1136091603497484,18.632041880139305,0.9869260029058,9.24141788482666,0.4872722955274237,0.052727005920538285,0.052657814692505744,D:\semixcode\lqr\performance_outputs\performance_20260630_231626.csv
20260630_231649,333,4.987714052200317,14.134447996103361,2.872675394757541,18.6608907268861,0.9374915922239999,7.363829851150513,0.4188179812895959,0.05687502152486053,0.0583715568103567,D:\semixcode\lqr\performance_outputs\performance_20260630_231649.csv
20260630_231712,327,4.9871580600738525,15.580838909084889,3.1604669920782666,18.4773820449157,0.9183242751060998,9.446300029754639,0.5141234853888169,0.05442591107305438,0.054351358453596156,D:\semixcode\lqr\performance_outputs\performance_20260630_231712.csv
20260630_231737,330,4.99661111831665,14.99226486981496,3.067362407156889,18.7534996652651,0.9930994579855998,8.813423156738281,0.48477429523000587,0.05500408713036465,0.05568086084783106,D:\semixcode\lqr\performance_outputs\performance_20260630_231737.csv
20260630_231801,332,4.994493007659912,13.280990299226104,2.6667479150477433,18.5025967122743,1.0227780027011,7.635367155075073,0.39151813192464374,0.05127692276911787,0.05133671771651246,D:\semixcode\lqr\performance_outputs\performance_20260630_231801.csv
20260630_231826,326,4.996440172195435,14.039192676119852,2.8318695494435677,18.4602046871135,0.9590120606574998,8.285067081451416,0.43032664413635097,0.05194003137280143,0.051107578306479245,D:\semixcode\lqr\performance_outputs\performance_20260630_231826.csv
20260630_231852,331,4.995588064193726,13.309054880641057,2.69776653677995,18.1954751312089,0.9787607874725999,7.745378017425537,0.40023914227829693,0.05167457822947307,0.05290810381114735,D:\semixcode\lqr\performance_outputs\performance_20260630_231852.csv
20260630_231917,329,4.989972114562988,16.31542395249889,3.286273256759861,18.977918832439897,1.0581837399729999,8.346858978271484,0.5442416248171908,0.06520316519471082,0.06477800333714061,D:\semixcode\lqr\performance_outputs\performance_20260630_231917.csv
20260630_231940,332,4.996351003646851,14.101757974630479,2.859341723148897,18.745546928852,0.9555001044570997,7.966177940368652,0.4335872760907837,0.05442852009287637,0.05503380416394014,D:\semixcode\lqr\performance_outputs\performance_20260630_231940.csv
