时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832649.565995	0.234993	-0.253020	0.501375	-0.191341
1782832649.580574	0.252500	-0.272192	0.517245	-0.189871
1782832649.594353	0.252971	-0.239297	0.449313	-0.185781
1782832649.608775	0.257522	-0.239683	0.474676	-0.185035
1782832649.623897	0.277134	-0.245928	0.502744	-0.181829
1782832649.638486	0.282599	-0.272675	0.572779	-0.181829
1782832649.653491	0.285423	-0.255868	0.537466	-0.177878
1782832649.667406	0.291700	-0.273360	0.569880	-0.176859
1782832649.682432	0.303021	-0.250553	0.574935	-0.174332
1782832649.696521	0.300291	-0.244145	0.582104	-0.171907
1782832649.710762	0.302567	-0.270398	0.570986	-0.170244
1782832649.726326	0.308727	-0.243268	0.567277	-0.167752
1782832649.739708	0.311734	-0.236807	0.621841	-0.167752
1782832649.755369	0.315797	-0.237772	0.573798	-0.164787
1782832649.770488	0.306494	-0.225022	0.619191	-0.163293
1782832649.786476	0.296452	-0.209468	0.604367	-0.159819
1782832649.799740	0.297965	-0.194957	0.561798	-0.158418
1782832649.815416	0.280361	-0.174589	0.637563	-0.155204
1782832649.832686	0.280908	-0.183126	0.616390	-0.153378
1782832649.846097	0.265784	-0.178813	0.651664	-0.151703
1782832649.860198	0.259801	-0.157159	0.646910	-0.149640
1782832649.874033	0.259632	-0.182430	0.641486	-0.148712
1782832649.891686	0.255328	-0.133669	0.648117	-0.145613
1782832649.906856	0.251312	-0.158525	0.635206	-0.142668
1782832649.921782	0.243922	-0.147649	0.649322	-0.140696
1782832649.937910	0.239251	-0.135688	0.683200	-0.138920
1782832649.955151	0.237631	-0.159851	0.642907	-0.135474
1782832649.970168	0.250316	-0.126802	0.652359	-0.134168
1782832649.985878	0.256745	-0.114862	0.643596	-0.131818
1782832650.000028	0.260521	-0.106600	0.661113	-0.130147
1782832650.014861	0.274440	-0.089016	0.637946	-0.126775
1782832650.029793	0.274599	-0.100212	0.621350	-0.125071
1782832650.044928	0.280751	-0.100957	0.664701	-0.123923
1782832650.058515	0.285732	-0.080432	0.699916	-0.123923
1782832650.073873	0.286159	-0.075679	0.686409	-0.122151
1782832650.089748	0.298794	-0.100457	0.649139	-0.117674
1782832650.105741	0.293547	-0.066322	0.646510	-0.114967
1782832650.119226	0.299298	-0.054538	0.652771	-0.112786
1782832650.133149	0.300212	-0.058179	0.646157	-0.111174
1782832650.148623	0.299552	-0.039034	0.632368	-0.109744
1782832650.162674	0.293527	-0.011002	0.621876	-0.106606
1782832650.176192	0.283501	0.007390	0.625566	-0.104935
1782832650.189795	0.283811	-0.032069	0.620750	-0.104246
1782832650.205581	0.275691	0.006197	0.600935	-0.100578
1782832650.219317	0.275122	0.010197	0.624732	-0.098866
1782832650.234014	0.274822	0.007955	0.607982	-0.097281
1782832650.248961	0.266431	0.015624	0.604104	-0.095787
1782832650.263264	0.266187	0.054048	0.561691	-0.092497
1782832650.276592	0.260090	0.044983	0.585617	-0.090813
1782832650.292488	0.259254	0.031268	0.570050	-0.089404
1782832650.306756	0.258410	0.046904	0.568053	-0.086140
1782832650.319934	0.256048	0.088918	0.580864	-0.086140
1782832650.334593	0.255531	0.100048	0.573173	-0.083927
1782832650.349611	0.254407	0.114347	0.560431	-0.082345
1782832650.364074	0.263342	0.128327	0.544672	-0.079764
1782832650.378036	0.254964	0.108993	0.545508	-0.077688
1782832650.393886	0.254061	0.117896	0.532093	-0.076909
1782832650.409409	0.257338	0.126084	0.526853	-0.074229
1782832650.424671	0.266428	0.150188	0.494581	-0.072384
1782832650.439475	0.266483	0.167722	0.494375	-0.070982
1782832650.456978	0.264448	0.178016	0.486874	-0.068316
1782832650.470953	0.264114	0.180878	0.482403	-0.067653
1782832650.485192	0.272076	0.168176	0.467187	-0.065076
1782832650.498640	0.278599	0.181026	0.461959	-0.063715
1782832650.514030	0.278361	0.171649	0.450686	-0.061463
1782832650.527144	0.270343	0.187076	0.440860	-0.060000
1782832650.540730	0.274447	0.215267	0.432513	-0.060000
