时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832771.923606	0.000000	-0.031017	3.141593	-0.325743
1782832771.937154	0.000000	-0.025558	3.140124	-0.326340
1782832771.951239	0.000000	-0.044199	3.141593	-0.326171
1782832771.966644	0.000000	-0.041103	3.081561	-0.326680
1782832771.980487	0.000000	-0.029592	2.974448	-0.327087
1782832771.994546	0.000000	-0.047922	2.722060	-0.326648
1782832772.008043	0.000000	-0.059887	2.579126	-0.326880
1782832772.023318	0.000000	-0.046016	2.426456	-0.326879
1782832772.037277	0.000000	-0.022869	2.275584	-0.327374
1782832772.050961	0.000000	-0.021597	2.183664	-0.327038
1782832772.067928	0.000000	-0.027288	1.929695	-0.326525
1782832772.084584	0.000000	-0.058233	1.777307	-0.328072
1782832772.097912	0.000000	-0.069418	1.535353	-0.328353
1782832772.112632	0.000000	-0.062277	1.486364	-0.327748
1782832772.128539	0.000000	-0.025886	1.289119	-0.326874
1782832772.143656	0.000000	-0.025886	1.289119	-0.326874
1782832772.159669	0.000000	-0.014405	0.953607	-0.326296
1782832772.175563	0.000000	0.010532	0.878618	-0.325018
1782832772.188672	0.000000	0.008326	0.747368	-0.325018
1782832772.203347	0.053454	0.003056	0.531338	-0.324264
1782832772.216671	0.086207	0.013871	0.431456	-0.324264
1782832772.229748	0.097851	0.052817	0.406792	-0.323309
1782832772.244889	0.122378	0.060138	0.371525	-0.323051
1782832772.261535	0.197032	0.070266	0.178232	-0.321353
1782832772.276409	0.256244	0.052515	0.064355	-0.320779
1782832772.289957	0.272298	0.084614	0.079014	-0.319073
1782832772.306744	0.349219	0.108886	0.007858	-0.319003
1782832772.324443	0.369843	0.106220	-0.115655	-0.319003
1782832772.337572	0.406521	0.137703	-0.092000	-0.317213
1782832772.350993	0.446668	0.160226	-0.143392	-0.316505
1782832772.366703	0.484543	0.188095	-0.187446	-0.315075
1782832772.380301	0.504606	0.208843	-0.261986	-0.313728
1782832772.394928	0.527880	0.233246	-0.238268	-0.312320
1782832772.408282	0.527880	0.233246	-0.238268	-0.312320
1782832772.423456	0.505215	0.267854	-0.228248	-0.310872
1782832772.437578	0.529740	0.269689	-0.197708	-0.310449
1782832772.453404	0.479541	0.307301	-0.251293	-0.309773
1782832772.470532	0.452097	0.312926	-0.235369	-0.308048
1782832772.485500	0.448273	0.356408	-0.185552	-0.306045
1782832772.498778	0.395003	0.390854	-0.193631	-0.305408
1782832772.512772	0.337952	0.408336	-0.196071	-0.304832
1782832772.526925	0.343561	0.414496	-0.165238	-0.304221
1782832772.541119	0.257441	0.440559	-0.196638	-0.302995
1782832772.556164	0.245410	0.462261	-0.156363	-0.302021
1782832772.569957	0.246268	0.460203	-0.122735	-0.300305
1782832772.586411	0.182310	0.470126	-0.097989	-0.299013
1782832772.600218	0.169011	0.470989	-0.139306	-0.298225
1782832772.614896	0.166957	0.462809	-0.107083	-0.296494
1782832772.629561	0.155104	0.443381	-0.134942	-0.296168
1782832772.644150	0.154687	0.468078	-0.118776	-0.294340
1782832772.657786	0.167228	0.448099	-0.143071	-0.293230
1782832772.672993	0.162225	0.448972	-0.123625	-0.291205
1782832772.691839	0.187003	0.443011	-0.127300	-0.290260
1782832772.706437	0.198442	0.420926	-0.096268	-0.287678
1782832772.722626	0.242730	0.397380	-0.142700	-0.287678
1782832772.738653	0.241822	0.415488	-0.121906	-0.286127
1782832772.754919	0.298730	0.358408	-0.084338	-0.283341
1782832772.769887	0.300107	0.377789	-0.094018	-0.283056
1782832772.785327	0.311833	0.364977	-0.058512	-0.280231
1782832772.838089	0.358673	0.289020	0.022656	-0.276308
1782832772.852346	0.361647	0.270906	0.023670	-0.275857
1782832772.867602	0.373831	0.203145	0.037070	-0.274099
1782832772.885663	0.371914	0.204863	0.059691	-0.271336
