时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782835007.790784	0.128087	0.702300	2.558140	-1.794502
1782835007.855915	0.128042	0.689403	2.545847	-1.798869
1782835007.962310	0.157866	0.566259	2.170287	-1.808577
1782835008.038923	0.189322	0.191892	0.512257	-1.048913
1782835008.109300	0.233089	0.075836	-1.027129	-0.244929
1782835008.187247	0.210805	-0.005088	-1.810078	0.028427
1782835008.262647	0.197101	-0.060917	-1.994954	0.063238
1782835008.338152	0.214508	-0.123762	-1.682335	-0.038520
1782835008.408699	0.321734	-0.207131	-1.011366	-0.182927
1782835008.475788	0.424504	-0.216952	-0.007020	-0.150359
1782835008.550384	0.402473	-0.050796	1.130955	-0.060708
1782835008.625264	0.326939	0.161833	1.636343	-0.063815
1782835008.694178	0.287710	0.278231	1.619761	-0.128747
1782835008.763435	0.268042	0.282008	1.383566	-0.170479
1782835008.836389	0.243746	0.285194	1.012438	-0.157334
1782835008.909882	0.220013	0.190448	0.557903	-0.095633
1782835008.981242	0.208180	0.052065	0.245938	-0.058006
1782835009.094896	0.210915	-0.142064	0.070176	-0.048261
1782835009.179364	0.226286	-0.418188	-0.052811	-0.044269
1782835009.258540	0.232498	-0.536404	0.009599	-0.037357
1782835009.329573	0.254940	-0.503645	0.164282	-0.022407
1782835009.399791	0.276522	-0.379220	0.380749	-0.018341
1782835009.470393	0.288945	-0.201811	0.541419	-0.026474
1782835009.541206	0.300284	0.021528	0.621218	-0.037350
1782835009.614402	0.295866	0.187606	0.597687	-0.040980
1782835009.689203	0.279041	0.252716	0.547418	-0.030337
1782835009.780175	0.267526	0.244042	0.444212	-0.017428
1782835009.876295	0.251769	0.212024	0.367695	0.001514
1782835009.987934	0.243308	0.150150	0.281863	0.018522
1782835010.097313	0.241016	0.048016	0.261004	0.022296
1782835010.214193	0.255634	-0.100204	0.278913	0.016355
1782835010.290018	0.282487	-0.195512	0.313274	0.015361
1782835010.356590	0.292642	-0.239548	0.313557	0.014150
1782835010.429947	0.303079	-0.207322	0.329319	0.014077
1782835010.497371	0.290946	-0.152778	0.356140	0.012826
1782835010.570754	0.280423	-0.077682	0.398850	0.013187
1782835010.641168	0.263163	0.030745	0.414442	0.015413
1782835010.715826	0.245774	0.078889	0.408326	0.018175
1782835010.791604	0.238041	0.100228	0.383764	0.020229
1782835010.869678	0.243972	0.076408	0.395851	0.021537
1782835010.949446	0.257916	0.045456	0.407749	0.021835
1782835011.025577	0.268921	-0.007034	0.450222	0.025260
1782835011.097677	0.283345	-0.084277	0.424680	0.022639
1782835011.168966	0.293409	-0.105966	0.375022	0.024309
1782835011.275612	0.294297	-0.138105	0.340084	0.023761
1782835011.375393	0.277599	-0.098305	0.292167	0.025108
1782835011.451426	0.250176	-0.061274	0.267940	0.023700
1782835011.526567	0.230777	-0.031579	0.313762	0.022148
1782835011.595691	0.218140	-0.013574	0.366008	0.020277
1782835011.678952	0.227847	-0.035400	0.390639	0.017965
1782835011.750829	0.246456	-0.051103	0.412852	0.018265
1782835011.825414	0.275994	-0.085776	0.395283	0.022110
1782835011.904755	0.308244	-0.114939	0.342678	0.024313
1782835011.973148	0.314548	-0.131140	0.357560	0.025332
1782835012.045454	0.315481	-0.123271	0.301206	0.025614
1782835012.123302	0.300258	-0.077127	0.325653	0.026827
1782835012.205016	0.266001	-0.004104	0.368303	0.027336
1782835012.325923	0.222377	0.020175	0.392288	0.022708
1782835012.506124	0.200176	0.027565	0.453906	0.020405
1782835012.576514	0.233168	0.025866	0.490183	0.028014
1782835012.654490	0.265476	-0.050859	0.484418	0.026150
1782835012.725856	0.309813	-0.086568	0.400653	0.028843
1782835012.854009	0.339275	-0.151825	0.319375	0.022331
1782835012.954293	0.329125	-0.141238	0.313975	0.023832
1782835013.023253	0.289481	-0.098005	0.320935	0.023113
1782835013.092937	0.252011	-0.039486	0.319519	0.022019
1782835013.162893	0.205073	0.002338	0.349112	0.019158
1782835013.236323	0.180778	0.042800	0.378409	0.020823
1782835013.311586	0.182102	0.020689	0.395949	0.018390
1782835013.384948	0.220512	0.006789	0.375089	0.019723
1782835013.462539	0.268984	0.010280	0.324038	0.024228
1782835013.554756	0.333065	-0.015885	0.261404	0.026812
