时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782834956.595889	0.131746	0.690559	2.520636	-1.798305
1782834956.693491	0.132167	0.661676	2.498979	-1.811725
1782834956.775992	0.184205	0.371485	1.632939	-1.700883
1782834956.882865	0.205397	0.141147	-0.348155	-0.642804
1782834956.955470	0.222102	0.048647	-1.340710	-0.132443
1782834957.029499	0.199926	-0.022216	-1.901450	0.052859
1782834957.107225	0.190505	-0.108132	-1.947232	0.024315
1782834957.180639	0.227310	-0.174190	-1.603106	-0.107290
1782834957.249812	0.356763	-0.292157	-0.798438	-0.221262
1782834957.316008	0.422408	-0.174083	0.368883	-0.138106
1782834957.388730	0.379313	0.014983	1.310144	-0.071468
1782834957.457503	0.304660	0.235067	1.741721	-0.082199
1782834957.527473	0.285645	0.314416	1.667689	-0.134997
1782834957.600626	0.263532	0.322496	1.464263	-0.174592
1782834957.699260	0.241184	0.307164	1.057025	-0.152176
1782834957.806165	0.229593	0.131995	0.452633	-0.068667
1782834957.875200	0.241357	-0.224299	-0.111375	-0.036708
1782834957.949806	0.229805	-0.401881	-0.351444	-0.038042
1782834958.020023	0.211787	-0.488901	-0.327586	-0.048615
1782834958.094103	0.206776	-0.513288	-0.159357	-0.053238
1782834958.164959	0.207849	-0.404546	0.113326	-0.053510
1782834958.306409	0.234388	-0.276817	0.397098	-0.051874
1782834958.450311	0.264134	0.145201	0.902901	-0.042078
1782834958.535545	0.261173	0.573693	1.168920	-0.020144
1782834958.611331	0.274607	0.623780	1.123186	0.000939
1782834958.680072	0.307960	0.488223	0.960769	0.034583
1782834958.743112	0.339619	0.201367	0.668180	0.058110
1782834958.840258	0.363117	-0.060634	0.374052	0.056483
1782834958.937146	0.320265	-0.295180	-0.091692	0.036874
1782834959.016107	0.240511	-0.322024	-0.219793	0.022883
1782834959.091761	0.169950	-0.266143	-0.144376	0.010238
1782834959.167187	0.130118	-0.181847	0.022108	0.008616
1782834959.241298	0.131016	-0.108114	0.237327	0.015979
1782834959.316792	0.131909	-0.046852	0.427580	0.026873
1782834959.394038	0.182606	0.015983	0.611741	0.039784
1782834959.463360	0.230101	0.059596	0.690694	0.052077
1782834959.527729	0.291747	0.058844	0.691534	0.061263
1782834959.596502	0.334392	-0.024332	0.605090	0.061807
1782834959.671822	0.374636	0.001947	0.539949	0.061594
1782834959.748035	0.377298	-0.057506	0.461346	0.057696
1782834959.822983	0.341115	-0.075540	0.418170	0.054492
1782834959.914992	0.294972	-0.102594	0.411482	0.043109
1782834960.006828	0.201619	-0.048507	0.365317	0.025706
1782834960.093835	0.140197	-0.000344	0.387865	0.027115
1782834960.165576	0.126812	0.018146	0.415733	0.030182
1782834960.237330	0.150577	0.021603	0.407272	0.028949
1782834960.338078	0.195407	0.025255	0.366817	0.025809
1782834960.420815	0.286869	0.041024	0.226184	0.019766
1782834960.487699	0.373155	0.040061	0.079642	0.005930
1782834960.559596	0.439652	0.051648	0.028445	-0.008350
1782834960.633864	0.421667	0.024836	0.207656	-0.005575
1782834960.710794	0.351188	-0.003429	0.440113	0.007586
1782834960.792577	0.253507	-0.038120	0.583921	-0.002201
1782834960.865962	0.164608	-0.051406	0.566882	-0.012730
1782834960.933682	0.108151	-0.064884	0.565898	-0.007839
1782834961.024608	0.113122	-0.067622	0.597144	-0.003260
1782834961.107923	0.165701	-0.048903	0.542166	0.009061
1782834961.201841	0.226635	-0.000524	0.322138	0.028257
1782834961.321026	0.332806	0.108842	-0.048409	0.034490
1782834961.470082	0.431648	0.127607	-0.328850	0.011005
1782834961.605950	0.434242	-0.013612	0.018287	-0.002492
1782834961.682495	0.273952	-0.197273	0.704583	0.006549
1782834961.753928	0.164705	-0.198922	0.760375	-0.019415
1782834961.828634	0.083647	-0.220389	0.775261	-0.024948
1782834961.925357	0.066399	-0.264565	0.886964	-0.012314
1782834962.002023	0.086041	-0.270687	0.918820	0.007985
1782834962.079658	0.170406	-0.209076	0.787779	0.036811
1782834962.166753	0.245371	-0.056508	0.354887	0.070343
1782834962.261308	0.359138	0.181366	-0.309135	0.090471
1782834962.342019	0.409574	0.339272	-0.726193	0.091172
1782834962.423297	0.409047	0.385938	-0.623253	0.087662
1782834962.502032	0.362248	0.274059	0.028448	0.054557
1782834962.581840	0.262759	0.136443	0.529851	0.018470
1782834962.650060	0.177950	0.070064	0.674939	-0.009919
1782834962.723445	0.123414	0.022578	0.708771	-0.020433
1782834962.792452	0.098428	-0.028435	0.774674	-0.020473
1782834962.861615	0.104455	-0.119240	0.757924	-0.012918
1782834962.932685	0.157599	-0.176207	0.724723	0.000940
1782834963.003317	0.228540	-0.209617	0.479230	0.023438
1782834963.079180	0.316640	-0.129315	0.150557	0.034673
1782834963.153582	0.369700	0.023414	-0.112393	0.039993
1782834963.236980	0.401017	0.122866	-0.281415	0.036556
1782834963.334358	0.375965	0.192922	-0.009573	0.038569
1782834963.427500	0.247005	0.173886	0.486229	0.017356
1782834963.502536	0.164490	0.081309	0.700200	-0.013559
1782834963.581069	0.113501	0.008291	0.806981	-0.027796
