时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782835031.371829	0.120118	0.654317	2.624241	-1.659822
1782835031.454229	0.121545	0.667255	2.603596	-1.673401
1782835031.533344	0.157708	0.508819	2.098659	-1.663662
1782835031.605269	0.194969	0.295043	0.660590	-1.066283
1782835031.683542	0.224467	0.198187	-0.731359	-0.324940
1782835031.753418	0.220713	0.088835	-1.500135	-0.037547
1782835031.824142	0.207025	0.045432	-1.782638	0.034951
1782835031.895055	0.208609	-0.066291	-1.676348	-0.037829
1782835031.968548	0.276391	-0.136940	-1.042710	-0.190224
1782835032.048343	0.369370	-0.243708	-0.038965	-0.197058
1782835032.129405	0.351631	-0.225007	0.969898	-0.099115
1782835032.196973	0.325824	-0.060445	1.520598	-0.056239
1782835032.273097	0.291782	0.104006	1.600890	-0.112603
1782835032.339516	0.265717	0.204207	1.387318	-0.172105
1782835032.416939	0.243927	0.307308	1.152906	-0.182179
1782835032.527797	0.224558	0.287049	0.511880	-0.098624
1782835032.632852	0.234085	-0.083767	-0.281774	-0.026537
1782835032.706847	0.231332	-0.316830	-0.435426	-0.038969
1782835032.778926	0.219263	-0.456167	-0.383934	-0.048479
1782835032.855677	0.214840	-0.519530	-0.159356	-0.046551
1782835032.925481	0.226862	-0.489294	0.214149	-0.028131
1782835033.005224	0.244837	-0.387347	0.502762	-0.016801
1782835033.082356	0.262860	-0.230542	0.798746	-0.008101
1782835033.156313	0.265995	-0.082126	0.912014	-0.012496
1782835033.229919	0.267077	0.133318	0.916411	-0.020622
1782835033.306949	0.273163	0.230959	0.798461	-0.015820
1782835033.384997	0.287441	0.203913	0.584308	0.004578
1782835033.466060	0.296999	0.173617	0.425299	0.029971
1782835033.564042	0.293606	0.056070	0.277386	0.039671
1782835033.700749	0.274296	-0.021828	0.167025	0.040264
1782835033.791913	0.232147	-0.063558	0.204541	0.027574
1782835033.867298	0.208799	-0.078022	0.250835	0.020176
1782835033.936080	0.207553	-0.037216	0.330210	0.018255
1782835034.027503	0.209573	-0.019430	0.339526	0.019421
1782835034.144185	0.246486	0.006073	0.418586	0.027914
1782835034.233033	0.305017	0.009056	0.406509	0.039863
1782835034.305317	0.347059	-0.034141	0.413837	0.045708
1782835034.372902	0.359826	-0.104468	0.383624	0.048415
1782835034.446139	0.346423	-0.175114	0.368024	0.044285
1782835034.515662	0.309390	-0.186615	0.406333	0.039317
1782835034.581995	0.250951	-0.148114	0.410090	0.028671
1782835034.654441	0.208039	-0.114895	0.432374	0.020371
1782835034.734079	0.175441	-0.087442	0.452478	0.020922
1782835034.851305	0.175912	-0.056741	0.475462	0.027569
1782835034.921438	0.229072	-0.020511	0.460826	0.045425
1782835034.983816	0.295760	-0.017872	0.377505	0.055695
1782835035.056226	0.338556	0.007101	0.307716	0.063633
1782835035.131613	0.356457	-0.025812	0.242648	0.064878
1782835035.209391	0.349926	-0.069283	0.238086	0.062465
1782835035.281478	0.299550	-0.052632	0.337086	0.058913
1782835035.350727	0.249849	-0.036094	0.416208	0.045732
1782835035.425649	0.201756	-0.036630	0.465528	0.033450
1782835035.496178	0.178165	-0.044502	0.487501	0.029500
1782835035.571109	0.182947	-0.085900	0.454228	0.029676
1782835035.647762	0.218179	-0.097127	0.428062	0.037600
1782835035.714577	0.261488	-0.094531	0.383068	0.048921
1782835035.791601	0.311798	-0.087216	0.234879	0.054878
1782835035.870521	0.351813	-0.022155	0.177328	0.064507
1782835035.984375	0.345526	0.023813	0.272945	0.070492
1782835036.055068	0.281821	0.093019	0.464877	0.066033
1782835036.133609	0.234731	0.078668	0.541612	0.052114
1782835036.210486	0.198283	0.069135	0.574805	0.044539
1782835036.282725	0.184835	0.004049	0.536128	0.041094
1782835036.355594	0.209243	-0.010195	0.496863	0.048694
1782835036.433068	0.243443	-0.049617	0.412254	0.055731
1782835036.505246	0.288375	-0.058739	0.278637	0.064445
1782835036.595310	0.331261	-0.069756	0.164986	0.062343
1782835036.697685	0.356322	-0.038760	0.104368	0.061471
1782835036.786623	0.329203	0.009065	0.216779	0.061342
1782835036.862506	0.278249	0.041058	0.340553	0.051196
1782835036.931839	0.206362	0.080089	0.428799	0.035115
1782835037.016102	0.164903	0.035223	0.495741	0.023840
1782835037.131197	0.159011	-0.027115	0.504249	0.020561
1782835037.253005	0.214482	-0.116679	0.509556	0.026653
1782835037.325201	0.310154	-0.194110	0.325929	0.036188
1782835037.396917	0.383769	-0.168388	0.143847	0.033330
1782835037.472239	0.425371	-0.075988	0.029224	0.031532
1782835037.541332	0.399156	0.024905	0.138230	0.045234
1782835037.612115	0.332654	0.128639	0.345610	0.052514
1782835037.702190	0.197797	0.166584	0.470056	0.028484
1782835037.773484	0.125945	0.157358	0.496101	0.022705
1782835037.843165	0.108128	0.083269	0.492247	0.017728
1782835037.911309	0.116423	0.064720	0.542259	0.021702
1782835037.985044	0.178083	0.004291	0.531286	0.023437
1782835038.051782	0.229580	-0.050888	0.460654	0.030280
1782835038.123198	0.302930	-0.104364	0.285379	0.036678
1782835038.199926	0.356733	-0.116659	0.122042	0.032706
1782835038.295530	0.394308	-0.106458	0.069465	0.026210
1782835038.370281	0.364350	-0.003857	0.272642	0.037047
1782835038.440177	0.312347	0.083397	0.470817	0.036493
1782835038.514211	0.235953	0.100613	0.528144	0.021698
1782835038.582552	0.170993	0.084266	0.549001	0.010247
1782835038.652721	0.139350	0.074777	0.546407	0.012977
1782835038.726830	0.150308	0.002390	0.523595	0.013093
1782835038.796237	0.185882	-0.082050	0.399704	0.018645
1782835038.871201	0.254160	-0.129469	0.264664	0.025460
