时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782835343.569941	0.133779	0.698954	2.511537	-1.864735
1782835343.645759	0.134718	0.712879	2.513057	-1.874911
1782835343.719462	0.171498	0.561194	2.097312	-1.912555
1782835343.791074	0.196074	0.225232	0.942752	-1.418988
1782835343.862879	0.210861	0.066702	-0.330939	-0.682037
1782835343.929729	0.225585	0.046009	-1.192939	-0.249047
1782835344.002190	0.216219	0.005901	-1.473261	-0.118698
1782835344.077235	0.217392	-0.033332	-1.299911	-0.189182
1782835344.152775	0.256844	-0.087176	-0.753545	-0.337323
1782835344.235482	0.317505	-0.064432	-0.063662	-0.356774
1782835344.311450	0.308518	-0.055075	0.831127	-0.273155
1782835344.388362	0.289242	0.040486	1.293189	-0.221122
1782835344.462129	0.272534	0.050221	1.332908	-0.226074
1782835344.538374	0.262559	0.055105	1.115804	-0.232001
1782835344.653097	0.247588	0.069305	0.754323	-0.212189
1782835344.730129	0.243625	-0.000594	0.172065	-0.139292
1782835344.804569	0.243304	-0.058326	-0.116660	-0.098788
1782835344.876740	0.241835	-0.177584	-0.173131	-0.091759
1782835344.951155	0.240138	-0.250205	-0.045699	-0.090938
1782835345.025230	0.250145	-0.269406	0.201133	-0.076354
1782835345.094255	0.266354	-0.251563	0.449251	-0.055969
1782835345.175698	0.274599	-0.214184	0.662100	-0.043338
1782835345.247884	0.273127	-0.206169	0.793384	-0.038234
1782835345.324116	0.270445	-0.122958	0.802960	-0.047979
1782835345.397126	0.271372	-0.044009	0.677117	-0.054439
1782835345.480434	0.271057	0.008774	0.578286	-0.048510
1782835345.593209	0.264999	0.075710	0.457585	-0.031424
1782835345.726229	0.252913	0.126450	0.287423	-0.006617
1782835345.858096	0.232228	0.111403	0.182440	0.020305
1782835345.927850	0.235115	0.059264	0.164246	0.019935
1782835346.004659	0.237722	0.043358	0.236458	0.018580
1782835346.090849	0.260684	-0.023756	0.325913	0.017729
1782835346.187556	0.281491	-0.036204	0.436763	0.022938
1782835346.279943	0.294066	-0.048548	0.493433	0.026412
1782835346.363227	0.296546	-0.057898	0.459148	0.027140
1782835346.438763	0.289701	-0.035146	0.370253	0.025783
1782835346.511105	0.279055	-0.009594	0.338072	0.026693
1782835346.589165	0.257535	0.021888	0.242406	0.027704
1782835346.665461	0.249716	0.020290	0.221960	0.028267
1782835346.734061	0.249693	0.051647	0.250997	0.029645
1782835346.809840	0.246842	0.006486	0.301462	0.024518
1782835346.928322	0.252050	-0.071934	0.353217	0.020547
1782835346.998330	0.259723	-0.128790	0.419204	0.019691
1782835347.070343	0.265543	-0.169124	0.442093	0.018043
1782835347.142973	0.279679	-0.126553	0.428211	0.020103
1782835347.213512	0.281774	-0.085973	0.397411	0.022594
1782835347.281674	0.282370	-0.035129	0.396324	0.025815
1782835347.357940	0.282646	-0.047569	0.380635	0.023969
1782835347.440048	0.271320	-0.001235	0.336217	0.024515
1782835347.509318	0.255493	0.010443	0.331342	0.024402
1782835347.581949	0.249033	0.043153	0.331720	0.024926
1782835347.657241	0.251124	0.009441	0.322340	0.022391
1782835347.725489	0.253872	0.006113	0.335608	0.019667
1782835347.801572	0.264139	-0.035188	0.331481	0.018782
1782835347.880118	0.269075	-0.073014	0.310595	0.016771
1782835347.974546	0.277710	-0.126419	0.304669	0.016380
1782835348.076115	0.285420	-0.119995	0.360623	0.018169
1782835348.151198	0.273417	-0.136567	0.396878	0.019606
1782835348.226805	0.270588	-0.101407	0.438020	0.022428
1782835348.296992	0.262940	-0.063690	0.452175	0.024740
1782835348.365990	0.260041	-0.047724	0.443573	0.027893
1782835348.443153	0.260956	-0.031144	0.404308	0.031956
1782835348.506121	0.262944	-0.011699	0.347633	0.037248
1782835348.569875	0.264726	0.013120	0.293175	0.040824
1782835348.669625	0.264747	-0.004691	0.257749	0.039770
1782835348.770134	0.262231	0.005346	0.235380	0.040793
1782835348.843234	0.256564	0.007241	0.273060	0.039090
1782835348.914159	0.256801	0.019063	0.327277	0.039492
1782835348.989257	0.257754	0.014193	0.337825	0.040290
1782835349.065098	0.265385	-0.007305	0.371059	0.041563
1782835349.203719	0.274204	-0.039427	0.412314	0.044068
1782835349.295961	0.280049	-0.082487	0.428569	0.048496
1782835349.382944	0.276852	-0.115636	0.415849	0.049654
1782835349.448595	0.272613	-0.124160	0.367355	0.048744
1782835349.516406	0.271341	-0.117667	0.311347	0.048924
1782835349.586974	0.260451	-0.117385	0.277043	0.047751
1782835349.656715	0.251081	-0.074414	0.257725	0.048344
1782835349.727520	0.249398	-0.063072	0.261255	0.047492
1782835349.796699	0.253489	-0.044030	0.272415	0.048720
1782835349.866884	0.256847	-0.038867	0.315360	0.051227
1782835349.938615	0.257567	-0.087037	0.322342	0.048558
1782835350.008040	0.260594	-0.089682	0.343658	0.049170
1782835350.083893	0.264198	-0.097530	0.362474	0.049342
1782835350.155546	0.271175	-0.058218	0.345303	0.052625
1782835350.238945	0.269014	-0.020130	0.345143	0.054282
1782835350.339888	0.261373	-0.031740	0.326009	0.053172
1782835350.419781	0.267396	0.016706	0.306029	0.058845
1782835350.490564	0.266735	0.057500	0.292968	0.062164
1782835350.566022	0.263625	0.076541	0.282824	0.063653
