时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1763642218.662591	0.268955	-0.021115	0.724966	0.012413
1763642218.697023	0.270433	-0.030268	0.711943	0.012670
1763642218.723413	0.267598	-0.020887	0.731546	0.012225
1763642218.753961	0.268942	-0.033024	0.716417	0.011014
1763642218.776898	0.270084	-0.051277	0.730455	0.010606
1763642218.810160	0.267031	-0.009802	0.714516	0.010909
1763642218.841408	0.269147	-0.041896	0.700006	0.009910
1763642218.863404	0.267914	-0.036343	0.717346	0.009939
1763642218.890937	0.265877	-0.000822	0.686806	0.010487
1763642218.912896	0.267894	-0.028999	0.702103	0.009594
1763642218.935225	0.266349	-0.004717	0.694308	0.009656
1763642218.963616	0.267042	-0.004753	0.669010	0.009162
1763642218.992656	0.268503	-0.032208	0.682418	0.008233
1763642219.018497	0.265977	-0.003783	0.685469	0.007851
1763642219.043606	0.266774	-0.010284	0.658334	0.006945
1763642219.074934	0.270349	-0.037407	0.678881	0.006096
1763642219.104896	0.267616	-0.010345	0.662841	0.004924
1763642219.136208	0.270570	-0.048792	0.665444	0.003464
1763642219.164961	0.267624	-0.026241	0.681480	0.003931
1763642219.189718	0.265790	-0.039332	0.654280	0.001134
1763642219.217127	0.268298	-0.056287	0.668291	0.000793
1763642219.239439	0.262270	-0.046740	0.672775	-0.001793
1763642219.264063	0.263193	-0.041887	0.662892	-0.001512
1763642219.293533	0.265334	-0.049021	0.688895	-0.001810
1763642219.321926	0.263460	-0.023470	0.677518	-0.001908
1763642219.366798	0.266422	-0.052551	0.694690	-0.002609
1763642219.395370	0.264054	-0.028768	0.659105	-0.003257
1763642219.421950	0.266014	-0.042094	0.670217	-0.003265
1763642219.444762	0.266129	-0.021537	0.679881	-0.003337
1763642219.471106	0.265399	-0.024610	0.671418	-0.003690
1763642219.498372	0.270803	-0.060261	0.693830	-0.003749
1763642219.525131	0.267279	-0.035346	0.667112	-0.004168
1763642219.553646	0.268416	-0.045890	0.649892	-0.004174
1763642219.573818	0.269225	-0.050294	0.672303	-0.004316
1763642219.604615	0.268149	-0.027939	0.670121	-0.003783
1763642219.630816	0.270487	-0.063687	0.680952	-0.004621
1763642219.660579	0.269044	-0.050959	0.686320	-0.004397
1763642219.692109	0.264937	-0.017916	0.655172	-0.004324
1763642219.715088	0.267000	-0.052782	0.655805	-0.005022
1763642219.751632	0.268203	-0.049772	0.666784	-0.004737
1763642219.772972	0.262736	-0.023293	0.648579	-0.005148
1763642219.805986	0.264447	-0.021880	0.645937	-0.005230
1763642219.829748	0.264332	-0.037418	0.683820	-0.005740
1763642219.862443	0.261515	-0.012966	0.662427	-0.005952
1763642219.890941	0.266010	-0.052663	0.684645	-0.005948
1763642219.922369	0.263773	-0.028741	0.675506	-0.006421
1763642219.947333	0.265782	-0.046063	0.682526	-0.006414
1763642219.976389	0.266176	-0.065156	0.692249	-0.007065
1763642220.004440	0.263099	-0.046966	0.686182	-0.007324
1763642220.033042	0.266102	-0.064074	0.683647	-0.007170
1763642220.070816	0.265220	-0.062163	0.686378	-0.006953
1763642220.091345	0.264692	-0.068536	0.678689	-0.007556
1763642220.125748	0.267500	-0.081805	0.692239	-0.006982
1763642220.152546	0.264977	-0.055727	0.680617	-0.007013
1763642220.184229	0.263197	-0.042533	0.666541	-0.007194
1763642220.207679	0.265586	-0.062488	0.686974	-0.007356
1763642220.235491	0.265422	-0.053282	0.676501	-0.007418
1763642220.270808	0.267185	-0.069566	0.686664	-0.007363
1763642220.354074	0.267206	-0.070490	0.695099	-0.007333
1763642220.381485	0.265504	-0.041696	0.688907	-0.007148
1763642220.413422	0.264430	-0.039039	0.665817	-0.007570
1763642220.438351	0.266942	-0.056028	0.681945	-0.007074
1763642220.471304	0.263777	-0.017077	0.645492	-0.006128
1763642220.500208	0.266540	-0.040129	0.640313	-0.006516
1763642220.528118	0.268179	-0.042137	0.645873	-0.005873
1763642220.552209	0.265632	-0.022608	0.625839	-0.005521
1763642220.580005	0.268264	-0.056743	0.635864	-0.006693
1763642220.604128	0.268350	-0.047199	0.656234	-0.006160
1763642220.635028	0.265967	-0.022414	0.639670	-0.006224
1763642220.665442	0.265999	-0.052230	0.644797	-0.007489
1763642220.698632	0.268119	-0.058072	0.649464	-0.007293
1763642220.724677	0.262806	-0.027531	0.636633	-0.007642
1763642220.752089	0.265024	-0.043820	0.647512	-0.007851
1763642220.775097	0.264837	-0.071372	0.665857	-0.008992
1763642220.801697	0.261608	-0.035659	0.662399	-0.008383
1763642220.833138	0.261680	-0.033155	0.650610	-0.008808
1763642220.859377	0.264399	-0.040869	0.670014	-0.008304
1763642220.883557	0.262350	-0.012856	0.642583	-0.007628
1763642220.911619	0.265986	-0.044642	0.645924	-0.008082
1763642220.946702	0.267557	-0.035842	0.659859	-0.007439
1763642220.971545	0.263305	-0.039456	0.639744	-0.008813
1763642221.010439	0.266078	-0.067704	0.657334	-0.008906
1763642221.042905	0.264101	-0.035189	0.659289	-0.008643
1763642221.066703	0.264761	-0.053782	0.645869	-0.009285
1763642221.088365	0.266058	-0.070731	0.673096	-0.010129
1763642221.117935	0.264233	-0.047825	0.673604	-0.009888
1763642221.141443	0.263160	-0.030289	0.651116	-0.009623
1763642221.170572	0.267628	-0.062801	0.675152	-0.009674
1763642221.199247	0.266853	-0.056807	0.674085	-0.009742
1763642221.225824	0.263685	-0.040826	0.647778	-0.010175
1763642221.250530	0.266981	-0.046485	0.667566	-0.009497
1763642221.277673	0.265731	-0.041630	0.672319	-0.009454
1763642221.303232	0.263774	-0.021910	0.648705	-0.008966
1763642221.331955	0.264654	-0.042550	0.660258	-0.009100
1763642221.356243	0.265804	-0.047992	0.663797	-0.009278
1763642221.380605	0.263687	-0.024376	0.651359	-0.009083
1763642221.408801	0.268855	-0.045507	0.665308	-0.008909
1763642221.440739	0.266732	-0.009495	0.655529	-0.008387
1763642221.461852	0.264660	0.004448	0.645706	-0.008284
1763642221.486631	0.266114	-0.013732	0.640703	-0.008805
1763642221.513691	0.267692	-0.001577	0.655480	-0.008057
1763642221.543083	0.264624	0.026846	0.630480	-0.007240
1763642221.577415	0.266049	-0.002011	0.627797	-0.008205
1763642221.604494	0.266796	-0.012512	0.656235	-0.008057
1763642221.631684	0.263505	0.015228	0.636174	-0.007732
1763642221.657124	0.263672	-0.000697	0.649031	-0.008499
1763642221.693010	0.265552	-0.017242	0.678230	-0.008872
1763642221.730963	0.263261	-0.001836	0.653560	-0.009187
1763642221.760990	0.264783	-0.020851	0.651396	-0.008788
1763642221.793901	0.266496	-0.017889	0.670401	-0.008479
1763642221.818884	0.262949	-0.009916	0.648131	-0.008015
1763642221.850841	0.265513	-0.014894	0.641054	-0.007740
1763642221.881776	0.264763	0.003996	0.671552	-0.007021
1763642221.909997	0.263352	0.026999	0.650743	-0.006737
1763642221.942900	0.267004	-0.009861	0.670911	-0.007525
1763642221.965945	0.267303	0.001639	0.659591	-0.006270
1763642222.001532	0.265800	0.004127	0.650536	-0.006697
1763642222.023434	0.269796	-0.024032	0.664274	-0.006756
1763642222.052237	0.267613	-0.013565	0.676624	-0.006579
1763642222.072575	0.263202	0.011923	0.652486	-0.007075
1763642222.101103	0.265399	-0.014969	0.649677	-0.007611
1763642222.124642	0.266272	-0.032744	0.675474	-0.007285
1763642222.155670	0.264556	-0.016105	0.679105	-0.007140
1763642222.178035	0.264416	-0.001087	0.661344	-0.006902
1763642222.209017	0.266180	-0.032910	0.678234	-0.006729
1763642222.233395	0.263609	-0.011603	0.679905	-0.006310
1763642222.258006	0.264903	-0.012012	0.659375	-0.005747
1763642222.283444	0.266313	-0.027441	0.658601	-0.005410
1763642222.312593	0.267677	-0.013826	0.662580	-0.003657
1763642222.337204	0.262830	0.019586	0.629772	-0.003081
1763642222.360698	0.264830	0.015211	0.608535	-0.002622
1763642222.388098	0.266212	-0.008221	0.623784	-0.002890
1763642222.415696	0.265468	0.023778	0.633863	-0.001504
1763642222.441647	0.261868	0.045073	0.601151	-0.001149
1763642222.469248	0.263693	0.023955	0.598190	-0.001815
1763642222.495141	0.265233	0.001844	0.626364	-0.002244
1763642222.525213	0.263014	0.019808	0.617730	-0.001963
1763642222.554112	0.264321	0.005634	0.622133	-0.002371
1763642222.575359	0.266251	0.003945	0.646558	-0.002381
1763642222.607049	0.262919	0.027620	0.641820	-0.002354
1763642222.630755	0.263935	0.030981	0.633141	-0.002400
1763642222.663007	0.267282	0.000348	0.665705	-0.002982
1763642222.685141	0.263078	0.022610	0.667817	-0.002736
1763642222.725275	0.260379	0.032673	0.643119	-0.003381
1763642222.750105	0.262959	0.014391	0.674689	-0.003149
1763642222.783859	0.261896	0.007032	0.671616	-0.003447
1763642222.818306	0.262223	0.005301	0.659041	-0.004059
1763642222.841963	0.262897	0.017560	0.680308	-0.002826
1763642222.864474	0.261280	0.024368	0.659051	-0.003063
1763642222.891674	0.263997	0.008306	0.663261	-0.002505
1763642222.915450	0.266106	-0.004939	0.683622	-0.001990
1763642222.945421	0.263738	0.015918	0.658287	-0.001485
1763642222.970924	0.263503	-0.016233	0.665495	-0.002523
1763642222.994635	0.264726	-0.021238	0.688958	-0.002121
1763642223.035285	0.262060	0.020163	0.668809	-0.001328
1763642223.057507	0.266897	-0.012605	0.697583	-0.000765
1763642223.089847	0.262672	0.019338	0.703843	-0.000595
1763642223.113834	0.262234	0.036812	0.665536	-0.000052
1763642223.150605	0.265561	0.004816	0.687547	-0.000032
1763642223.171387	0.264032	0.035031	0.687887	0.001464
1763642223.200183	0.263445	0.021619	0.669306	0.001125
1763642223.224994	0.265425	-0.003045	0.705590	0.001980
1763642223.260753	0.262739	0.027044	0.671627	0.002664
1763642223.298390	0.267720	-0.012324	0.656776	0.003195
1763642223.324556	0.264784	0.018914	0.662064	0.004420
1763642223.355240	0.266557	-0.000196	0.650365	0.004471
1763642223.378569	0.266774	-0.003818	0.668742	0.004588
1763642223.408309	0.264066	0.019605	0.661185	0.004776
1763642223.429793	0.266232	0.003420	0.676702	0.005068
1763642223.458213	0.267930	-0.004650	0.696532	0.005309
1763642223.479759	0.264537	0.023523	0.668723	0.005105
1763642223.513304	0.262972	0.030601	0.660971	0.004635
1763642223.538373	0.264663	0.012414	0.672723	0.004712
1763642223.568699	0.262129	0.038616	0.666188	0.005540
1763642223.591529	0.265732	0.029358	0.668393	0.006678
1763642223.623529	0.266107	0.032530	0.661261	0.006728
1763642223.644872	0.263591	0.031554	0.637383	0.006414
1763642223.670748	0.265996	0.013844	0.648156	0.006303
1763642223.702214	0.264384	0.018210	0.657835	0.006268
1763642223.727801	0.262734	0.029391	0.636894	0.006354
1763642223.755115	0.266124	-0.002680	0.647195	0.006178
1763642223.778798	0.262359	0.022963	0.656090	0.006537
1763642223.805805	0.261989	0.013563	0.624189	0.006122
1763642223.832816	0.263405	-0.003824	0.642819	0.005095
1763642223.858066	0.261667	0.031571	0.633519	0.006076
1763642223.883413	0.265595	-0.007653	0.637485	0.005532
1763642223.906561	0.262839	0.010765	0.631871	0.005390
1763642223.934787	0.262875	0.015013	0.609951	0.005318
1763642223.958793	0.265361	-0.013883	0.635127	0.004803
1763642223.992140	0.262307	0.018517	0.597323	0.006223
1763642224.025632	0.266849	-0.020626	0.614391	0.005581
1763642224.054854	0.263230	0.012158	0.615978	0.005878
1763642224.082169	0.266630	-0.034840	0.625248	0.004632
1763642224.110515	0.262377	0.001293	0.611637	0.004732
1763642224.143496	0.261146	0.005437	0.603006	0.003779
1763642224.167148	0.264051	-0.038766	0.618968	0.002763
1763642224.194996	0.260261	-0.019014	0.594219	0.002147
1763642224.220869	0.264370	-0.028592	0.619952	0.003200
1763642224.250508	0.264225	-0.024176	0.597733	0.003078
1763642224.276223	0.263647	-0.016749	0.580325	0.003647
1763642224.314398	0.263379	0.003385	0.585527	0.004259
1763642224.340869	0.265096	0.006041	0.594124	0.004317
1763642224.373443	0.264462	0.019379	0.607023	0.004580
1763642224.430511	0.265843	0.003114	0.605589	0.003990
1763642224.461866	0.261246	0.030175	0.589593	0.004103
1763642224.485329	0.266086	0.010360	0.612552	0.004301
1763642224.513979	0.262416	0.019762	0.570751	0.003624
1763642224.543095	0.266168	-0.017393	0.585607	0.002656
1763642224.565995	0.266109	0.004058	0.609870	0.003785
1763642224.591898	0.263990	0.008979	0.577101	0.002698
1763642224.615787	0.267071	-0.012115	0.602737	0.002806
1763642224.644353	0.262548	0.011300	0.585522	0.002974
1763642224.668125	0.267630	-0.022926	0.607058	0.002975
1763642224.689788	0.267435	-0.015075	0.606898	0.002948
1763642224.713804	0.264137	-0.007732	0.585962	0.002324
1763642224.746039	0.267383	-0.054350	0.626148	0.002160
1763642224.766047	0.262861	-0.010268	0.620213	0.002161
1763642224.794944	0.267193	-0.045308	0.628271	0.002232
1763642224.817177	0.264627	-0.029202	0.641999	0.001915
1763642224.849496	0.265784	-0.038026	0.613626	0.001523
1763642224.874079	0.267516	-0.039626	0.629282	0.002680
1763642224.903768	0.265062	-0.021872	0.622712	0.002931
1763642224.931692	0.268065	-0.018810	0.644872	0.003515
1763642224.956894	0.263836	0.003886	0.618257	0.002883
1763642224.990172	0.263678	0.011067	0.627398	0.003597
1763642225.012436	0.264918	-0.000986	0.641808	0.003805
1763642225.048890	0.261658	0.032520	0.619836	0.004288
1763642225.071123	0.265094	0.006774	0.642511	0.005361
1763642225.104205	0.264825	0.019281	0.629498	0.005653
1763642225.132695	0.267160	-0.016583	0.625090	0.005399
1763642225.161245	0.264139	0.007773	0.623434	0.005403
1763642225.185358	0.268731	-0.021644	0.623317	0.005741
1763642225.212259	0.264793	0.014664	0.592017	0.006594
1763642225.236487	0.267092	0.000242	0.580952	0.006271
1763642225.266684	0.267839	-0.003836	0.595145	0.006482
1763642225.295140	0.265816	0.003841	0.582600	0.006252
1763642225.322294	0.267255	-0.000777	0.617475	0.006327
1763642225.350129	0.264210	0.002934	0.582383	0.005112
1763642225.378535	0.266772	-0.030172	0.613191	0.004705
1763642225.412657	0.264264	-0.003710	0.600070	0.004744
1763642225.440231	0.265544	-0.038069	0.598280	0.004043
1763642225.472099	0.262587	0.001714	0.624855	0.004980
1763642225.496242	0.263559	-0.009326	0.595944	0.003700
1763642225.528729	0.265515	-0.024048	0.615525	0.003898
1763642225.553055	0.260954	0.011807	0.602354	0.004130
1763642225.584413	0.266705	-0.021978	0.616540	0.004624
1763642225.607952	0.261792	-0.012128	0.594736	0.003570
1763642225.642564	0.265141	-0.035019	0.596558	0.003481
1763642225.667650	0.262394	-0.010943	0.579568	0.004180
1763642225.695490	0.267906	-0.055453	0.595953	0.003534
1763642225.717823	0.265412	-0.039316	0.562768	0.003221
1763642225.746231	0.266360	-0.048477	0.576487	0.003209
1763642225.771849	0.265490	-0.035839	0.599028	0.003281
1763642225.799097	0.266241	-0.037526	0.559445	0.003020
1763642225.826913	0.269666	-0.066465	0.599122	0.002881
1763642225.855719	0.265062	-0.041308	0.582991	0.002584
1763642225.879062	0.267929	-0.072425	0.588982	0.002205
1763642225.907282	0.265038	-0.046592	0.576297	0.002193
1763642225.943530	0.266888	-0.051908	0.586355	0.002700
1763642225.969943	0.263832	-0.047273	0.586128	0.002026
1763642226.004134	0.265622	-0.074426	0.576515	0.001724
1763642226.031252	0.265226	-0.031282	0.590896	0.003376
1763642226.061603	0.263957	-0.038753	0.577258	0.002866
1763642226.089623	0.267615	-0.036760	0.591020	0.004453
1763642226.111596	0.264031	-0.011172	0.572678	0.003930
1763642226.135970	0.267893	-0.045664	0.597454	0.003626
1763642226.165644	0.262561	-0.034858	0.587493	0.002399
1763642226.188998	0.265853	-0.040056	0.598359	0.002635
1763642226.221967	0.264028	-0.032552	0.605197	0.002289
1763642226.246568	0.263665	-0.058929	0.590603	0.000939
1763642226.277251	0.265314	-0.048669	0.612508	0.001796
1763642226.312302	0.265373	-0.047139	0.593905	0.001743
1763642226.338242	0.264615	-0.037917	0.616409	0.001786
1763642226.370938	0.262612	-0.016040	0.591231	0.001726
1763642226.401353	0.265981	-0.036623	0.613220	0.002033
1763642226.428165	0.265764	-0.019163	0.584926	0.002336
1763642226.459442	0.265658	-0.023840	0.611379	0.002620
1763642226.480453	0.265381	-0.040070	0.594941	0.001601
1763642226.513887	0.267058	-0.045683	0.599843	0.001690
1763642226.540161	0.263247	-0.017011	0.598290	0.001854
1763642226.569844	0.268318	-0.036639	0.619640	0.002278
1763642226.591595	0.265076	-0.019968	0.608793	0.001494
1763642226.626458	0.268279	-0.053861	0.626130	0.001749
1763642226.651160	0.263392	-0.053882	0.617539	0.000495
1763642226.686750	0.266844	-0.071708	0.633565	0.000716
1763642226.712644	0.262715	-0.041304	0.605293	0.000427
1763642226.745665	0.265187	-0.057475	0.629355	0.000709
1763642226.770450	0.262417	-0.020096	0.595760	0.001815
1763642226.803477	0.267876	-0.053304	0.615101	0.002186
1763642226.828791	0.263353	-0.009847	0.600997	0.003155
1763642226.852106	0.267348	-0.024160	0.620692	0.003810
1763642226.880427	0.264776	-0.013158	0.589458	0.003595
1763642226.905613	0.267008	-0.030766	0.587553	0.003547
1763642226.943436	0.266895	-0.000989	0.596471	0.004573
1763642226.966011	0.268157	-0.023040	0.589405	0.004204
1763642227.000304	0.264542	-0.007492	0.587729	0.003864
1763642227.030848	0.263293	-0.013409	0.563789	0.002855
1763642227.061297	0.264847	-0.033009	0.569719	0.002234
1763642227.087272	0.264822	-0.011754	0.543776	0.003086
1763642227.112012	0.266771	-0.012561	0.565938	0.003644
1763642227.137949	0.264599	-0.009464	0.542652	0.003032
1763642227.163678	0.268407	-0.035324	0.561419	0.002030
1763642227.191958	0.263893	-0.016975	0.544602	0.001825
