label,samples,duration_s,sample_mean_x_m,sample_mean_y_m,sample_mean_z_m,sample_mean_roll_rad,sample_mean_pitch_rad,sample_mean_yaw_rad,sample_mean_vx_m_s,sample_mean_vy_m_s,sample_mean_vz_m_s,time_mean_x_m,time_mean_y_m,time_mean_z_m,time_mean_roll_rad,time_mean_pitch_rad,time_mean_yaw_rad,time_mean_vx_m_s,time_mean_vy_m_s,time_mean_vz_m_s
20260630_205930,518,12.573147058486938,-0.004257967181467049,0.29899749227799205,0.974888835907336,0.026955019305019336,0.042028577220077225,0.3272488243243244,0.28848929536679585,-0.3113580270270271,0.0008778745173745195,-0.5672956624019794,0.18293200684974664,1.0829814036539185,0.01662205307491423,0.028317938138184885,0.5053136769016529,0.17243494715126112,-0.19833902255151106,0.004529641726022985
20260630_205950,544,12.971659898757935,0.04781034375000022,0.29196845404411803,0.9675013088235306,0.02435792095588236,0.028253602941176466,0.2355198823529415,0.28405308088235287,-0.29900474264705923,-0.011329814338235293,-0.5172657738145134,0.20591102460569255,1.0697985731114616,0.01825679865517514,0.01329745694723401,0.39591787285394964,0.18524553011865122,-0.19846577725372558,-0.0023709525776008777
20260630_210010,428,11.353749990463257,-0.10386955373831766,0.3580278785046728,0.9798727476635517,0.03199347196261683,0.02845284345794391,0.3104121588785046,0.36086937616822445,-0.3477614719626168,-0.023939084112149525,-0.7045978306462777,0.2372924852909253,1.0919479348508887,0.020623259536317953,0.011077049375855182,0.4373657658115323,0.21287728286894755,-0.21374154022514913,-0.0011670910658597247
20260630_210029,722,15.645764827728271,0.133942157894737,0.15551551939058159,0.9562528878116339,0.018842505540166213,0.04067612603878118,-0.0452119833795014,0.23321478254847683,-0.1469046537396121,-0.016573138504155125,-0.3697809678603371,0.12706563704441454,1.0414140750499146,0.015513201092499524,0.02170459611806019,0.13036041443204416,0.16360895695159564,-0.1051137734022038,-0.007105276534507803
20260630_210054,752,16.32900619506836,0.16946238829787222,0.18665958111702122,0.9624925678191498,0.020654224734042565,0.039321890957446766,0.055855816489361346,0.20204324734042584,-0.19466485239361686,-0.009412652925531912,-0.33995755027315794,0.14793730460422164,1.0478146479910102,0.017463587397327722,0.022998194004967196,0.22172700227665623,0.14982695797922657,-0.14092375173149424,-1.7321173562117555e-05
20260630_210120,794,16.749484062194824,0.23486242821158643,0.20461927078085593,0.9459562682619653,0.020640444584382876,0.030035527707808575,-0.013398471032745904,0.21083836020151206,-0.18204435390428186,-0.010262801007556707,-0.25781018353725066,0.16687362551344853,1.030744288448373,0.01719588838439152,0.017206149385043314,0.1696051973444463,0.15063256515498696,-0.1343150903867339,-0.002625921321907904
20260630_210146,552,13.11794114112854,0.028407956521739126,0.23415971557971027,0.9724561865942014,0.026895548913043483,0.025845907608695644,0.11385057971014473,0.2901324836956519,-0.23587724275362293,-0.010018282608695674,-0.542827285044049,0.15989826630619647,1.0720516942065348,0.018333509895142434,0.013969138299953766,0.29001328900305484,0.19291533819063825,-0.14934647488377673,-0.006026333137134203
20260630_210209,645,14.478596925735474,0.14796093023255807,0.16547217674418582,0.9583994542635665,0.018324807751937962,0.02952184186046514,-0.010019413953488111,0.23220235193798386,-0.15433153953488365,-0.020381187596899213,-0.4032093561566049,0.12688361173579837,1.0500656237551942,0.014611097284676173,0.014912029130863437,0.1723446276358815,0.15723168162588835,-0.10272379707856084,-0.009837686300374232
20260630_210237,591,13.723824977874756,0.05669270389170868,0.2311033620981389,0.9673218612521134,0.02374162774957698,0.03591290862944161,0.10000265651438194,0.26401696108291023,-0.21734078849407784,-0.008740536379018607,-0.4846200563777396,0.1692987062994139,1.0602181209644777,0.018197718596142786,0.019525099339582207,0.25795399786842493,0.1740235168012278,-0.14430401463684467,-0.00443149132889894
20260630_210303,990,19.826115131378174,0.2932170555555555,0.1507171252525253,0.9316877202020201,0.01811249090909092,0.03824222727272727,-0.04835640404040411,0.16425711717171684,-0.12490378585858548,-0.005317085858585869,-0.15685335741345796,0.12023241303758667,1.0115286167338615,0.017562436261497144,0.025435664901638632,0.10612398420445805,0.1292307709278731,-0.09120386957563305,-0.0005597306246946612
