label,samples,duration_s,sample_mean_x_m,sample_mean_y_m,sample_mean_z_m,sample_mean_roll_rad,sample_mean_pitch_rad,sample_mean_yaw_rad,sample_mean_vx_m_s,sample_mean_vy_m_s,sample_mean_vz_m_s,time_mean_x_m,time_mean_y_m,time_mean_z_m,time_mean_roll_rad,time_mean_pitch_rad,time_mean_yaw_rad,time_mean_vx_m_s,time_mean_vy_m_s,time_mean_vz_m_s
20260630_231529,1100,13.687180042266846,-0.13922642454545536,0.053683562727272684,1.112267635454542,0.00616556727272727,0.045760299090909055,0.2536967354545463,0.07237170181818187,-0.027518626363636348,-0.0065280718181818164,-0.03685030770543826,0.05629779354806042,1.073994393916347,0.005667259445829272,0.049737296600081145,0.21757288076155162,0.08959759279178009,-0.035508030344631625,-0.011082113554120837
20260630_231626,1208,15.261842966079712,0.03716198923841041,0.05919169288079471,1.1002736879139072,-0.0011725380794701955,0.013254658112582784,0.40501861258278127,0.07066538327814595,-0.059673405629139004,-0.013533711920529799,0.14093389879605975,0.07538724837928915,1.0616873088128116,0.0007420885586273821,0.017425572179382093,0.3588685042840562,0.08746190928302339,-0.07048419512843912,-0.018037436305880592
20260630_231649,1082,13.375562906265259,-0.03999754158964867,0.05461406839186687,1.1211186229205168,-0.00027767837338262414,0.012065847504621063,0.3852338807763393,0.0827209565619222,-0.05768825138632168,-0.013720401109057279,0.06308939919485118,0.067456627436132,1.0828402896159741,0.0008148069537204217,0.016921653124684008,0.3362714162835658,0.0974799634099832,-0.06990514321212905,-0.018727463834359526
20260630_231712,1214,15.440603971481323,0.06080584596375604,0.0661227248764415,1.0938550675453063,0.0009728476112026331,0.009661147446457985,0.33815549505766046,0.06802839044481039,-0.06105537232289963,-0.00948035090609556,0.16368076589488278,0.07771173395180303,1.0571386712431285,0.002317535399543255,0.013338369540727264,0.292616234262871,0.08219833946162461,-0.07117169741128473,-0.01378804131320449
20260630_231737,1185,14.83545708656311,0.04064103544303813,0.0635365257383967,1.102998648101265,0.0006867400843881853,0.007832928270042191,0.3496403493670888,0.07301110548523215,-0.06397665991561195,-0.012762718987341767,0.14587187883799715,0.07485148119272046,1.065173714863193,0.0018455199372217485,0.011624239179147317,0.3008374080135937,0.08710381818544005,-0.07339374521691379,-0.01638192069500629
20260630_231801,1106,13.655375957489014,-0.005643186256781264,0.04686555877034355,1.116795991862566,0.000517805605786622,0.005719547920434,0.3041272739602168,0.07998525406871604,-0.04736897287522602,-0.013715786618444848,0.09640460757071606,0.05765233007674681,1.0799110852754807,0.001718488900921136,0.009569288264255415,0.26311526896038134,0.09591159809623423,-0.05792765000125357,-0.018914222389313357
20260630_231826,1147,14.298645973205566,0.027370579773321663,0.058960668700958986,1.1107207959895378,0.0019806155187445523,0.002259897122929389,0.34085033914559804,0.06880707410636443,-0.053808351351351404,-0.01192186835222318,0.1320131279607636,0.07075611369417915,1.0725624866841208,0.003080928244802299,0.00729248245469934,0.3020024521824435,0.08533707218850199,-0.061581855551680456,-0.018221540225498305
20260630_231852,1105,13.764842987060547,0.011041074208144784,0.036408300452488676,1.11899524072398,-0.0005325357466063362,0.004176372850678742,0.33628889049773797,0.07429153122171925,-0.04945404253393664,-0.017947682352941172,0.11634917367111455,0.0469477109361555,1.0807402737893885,0.0002992032759987157,0.0085859527811771,0.2951012288241186,0.08701339903492807,-0.05846216110548056,-0.022609298213801005
20260630_231917,1146,14.361341953277588,0.041867325479930516,0.05521256282722522,1.1092005872600346,-0.0020365375218150124,0.005526340314136122,0.39332504712041816,0.06460044502617794,-0.07072377137870835,-0.014453939790575876,0.1441158832540772,0.07019204694429067,1.0711583635001458,-2.7522639414273653e-05,0.00881027067399781,0.3492049236304506,0.08439517469066658,-0.0834904027587549,-0.01865572328959539
20260630_231940,1128,13.979925870895386,0.0027158812056739656,0.05392419769503543,1.1134206382978722,0.0007926657801418383,0.007525546099290783,0.34697111968085037,0.07551589804964538,-0.055942914007092205,-0.015400112588652483,0.10704453842276483,0.06770580108735655,1.0754993689064438,0.0019917117300891607,0.012082171612462899,0.30025595190976245,0.08877133936723129,-0.06768148147818906,-0.02013990941051311
