scope,metric,count,mean,variance
all,hnn_mse,10,0.3010745617496549,0.00010957473102110992
all,lqr_mse,10,0.4520190416862975,0.0038710769290980994
all,mse_improvement_pct,10,31.79625568423838,143.88776416995864
all,hnn_j_4s_u0_old,10,9.627726726682674,0.28948110023815
all,lqr_j_4s_u0_old,10,12.785430127838897,2.9602881024412975
all,j_4s_u0_old_improvement_pct,10,22.898060946997013,224.40981571529747
all,hnn_j_4s_u0_new,10,9.449449295062836,0.29659506185027074
all,lqr_j_4s_u0_new,10,12.615519155436886,3.0668738641357676
all,j_4s_u0_new_improvement_pct,10,23.140917828259273,248.31594540724217
all,hnn_j_4s_no_u0,10,12.881199808945036,0.2803914535287858
all,lqr_j_4s_no_u0,10,15.99732336683444,2.7177672297145214
all,j_4s_no_u0_improvement_pct,10,18.473440234058682,117.60534607892905
all,hnn_j_full_u0_old,10,14.808994110360937,10.904457216633467
all,lqr_j_full_u0_old,10,22.863706271499886,14.171062069437303
all,j_full_u0_old_improvement_pct,10,32.76854865959515,439.24375988752274
all,hnn_j_4s_duration,10,3.9778173208236693,0.0003374182015642191
all,lqr_j_4s_duration,10,3.992300248146057,1.0282146222948542e-05
all,hnn_full_duration,10,6.874335694313049,3.357188824395474
all,lqr_full_duration,10,8.251713609695434,0.4572904641662399
no_suffix,hnn_mse,10,0.3010745617496549,0.00010957473102110992
no_suffix,lqr_mse,10,0.4520190416862975,0.0038710769290980994
no_suffix,mse_improvement_pct,10,31.79625568423838,143.88776416995864
no_suffix,hnn_j_4s_u0_old,10,9.627726726682674,0.28948110023815
no_suffix,lqr_j_4s_u0_old,10,12.785430127838897,2.9602881024412975
no_suffix,j_4s_u0_old_improvement_pct,10,22.898060946997013,224.40981571529747
no_suffix,hnn_j_4s_u0_new,10,9.449449295062836,0.29659506185027074
no_suffix,lqr_j_4s_u0_new,10,12.615519155436886,3.0668738641357676
no_suffix,j_4s_u0_new_improvement_pct,10,23.140917828259273,248.31594540724217
no_suffix,hnn_j_4s_no_u0,10,12.881199808945036,0.2803914535287858
no_suffix,lqr_j_4s_no_u0,10,15.99732336683444,2.7177672297145214
no_suffix,j_4s_no_u0_improvement_pct,10,18.473440234058682,117.60534607892905
no_suffix,hnn_j_full_u0_old,10,14.808994110360937,10.904457216633467
no_suffix,lqr_j_full_u0_old,10,22.863706271499886,14.171062069437303
no_suffix,j_full_u0_old_improvement_pct,10,32.76854865959515,439.24375988752274
no_suffix,hnn_j_4s_duration,10,3.9778173208236693,0.0003374182015642191
no_suffix,lqr_j_4s_duration,10,3.992300248146057,1.0282146222948542e-05
no_suffix,hnn_full_duration,10,6.874335694313049,3.357188824395474
no_suffix,lqr_full_duration,10,8.251713609695434,0.4572904641662399
