label,group,pair_index,hnn_state_file,hnn_u_file,lqr_state_file,lqr_u_file,hnn_mse,lqr_mse,mse_improvement_pct,hnn_j_4s_u0_old,lqr_j_4s_u0_old,j_4s_u0_old_improvement_pct,hnn_j_4s_u0_new,lqr_j_4s_u0_new,j_4s_u0_new_improvement_pct,hnn_j_4s_no_u0,lqr_j_4s_no_u0,j_4s_no_u0_improvement_pct,hnn_j_full_u0_old,lqr_j_full_u0_old,j_full_u0_old_improvement_pct,hnn_j_4s_duration,lqr_j_4s_duration,hnn_full_duration,lqr_full_duration
no_suffix_1,no_suffix,1,state_data_20260701_164655.txt,u_data_20260701_164655.txt,state_data_20260630_231529.txt,u_data_20260630_231529.txt,0.29040086476788957,0.28273917820963496,-2.709807182283704,10.242869994343168,8.440384007348861,-21.355497397096173,10.080684922108722,8.163608026281398,-23.483206073290244,13.49722114203049,11.919103930526287,-13.2402336677546,15.345917223758445,14.32275042160678,-7.143647498096119,3.963315010070801,3.988914966583252,7.040904998779297,7.67331600189209
no_suffix_2,no_suffix,2,state_data_20260701_164718.txt,u_data_20260701_164718.txt,state_data_20260630_231626.txt,u_data_20260630_231626.txt,0.28951629074595137,0.4552086056538719,36.3992052983964,9.262616037432915,13.552836525416158,31.65551713058463,9.06382936510097,13.380187894459727,32.25932672549398,12.541572627502124,16.75185888306146,25.13324810667156,13.454520142294461,25.528204413071762,47.29547004330218,3.987281084060669,3.995512008666992,6.341059923171997,9.24141788482666
no_suffix_3,no_suffix,3,state_data_20260701_164744.txt,u_data_20260701_164744.txt,state_data_20260630_231649.txt,u_data_20260630_231649.txt,0.28895319175548967,0.424073996204266,31.862553624649024,9.181648481478808,12.338367306612989,25.584574901107672,8.992796474619162,12.17349104638555,26.12803968595987,12.50031271259631,15.583150926821649,19.783150588108413,13.124273969929215,19.683564699618564,33.32369329330098,3.9888010025024414,3.994174003601074,6.284523963928223,7.363829851150513
no_suffix_4,no_suffix,4,state_data_20260701_164807.txt,u_data_20260701_164807.txt,state_data_20260630_231712.txt,u_data_20260630_231712.txt,0.295957711782,0.4891865582133526,39.50003187681176,10.19323748142627,14.070612044620827,27.55654516590038,10.01346057584832,13.90253945084454,27.97387404471612,13.455778284977805,17.27753298834212,22.119793988777296,14.501879493741061,27.638639480072094,47.530414786888656,3.999124050140381,3.991687059402466,6.39092493057251,9.446300029754639
no_suffix_5,no_suffix,5,state_data_20260701_164831.txt,u_data_20260701_164831.txt,state_data_20260630_231737.txt,u_data_20260630_231737.txt,0.3024535350358333,0.48954227759468766,38.21707564831671,9.439915840086586,13.785173699260948,31.521241255068986,9.25572025806499,13.634858110435893,32.11722349365105,12.679461459872217,16.979978456351688,25.32698735475003,12.216430500490546,25.89794986566531,52.82858078010759,3.9859070777893066,3.9938931465148926,5.382244110107422,8.813423156738281
no_suffix_6,no_suffix,6,state_data_20260701_164853.txt,u_data_20260701_164853.txt,state_data_20260630_231801.txt,u_data_20260630_231801.txt,0.30210130710211364,0.4495353324802461,32.796982734301785,8.892316048847785,12.134356419041364,26.717860084496394,8.73659089935327,11.985552907980573,27.107318565704077,12.093770340039043,15.318663934236778,21.05205524478012,12.371358718448814,20.98061141120892,41.034326998500156,3.931591033935547,3.9904911518096924,5.836081027984619,7.635367155075073
no_suffix_7,no_suffix,7,state_data_20260701_164916.txt,u_data_20260701_164916.txt,state_data_20260630_231826.txt,u_data_20260630_231826.txt,0.29797975559023837,0.4756238449926979,37.349702138080744,9.391745065002992,13.05489104527051,28.059567617721275,9.191572739950425,12.893258507338624,28.71024237419316,12.689607650774196,16.18899920191993,21.615860915792283,17.1082917336111,23.69386967755522,27.794438112329622,3.9756128787994385,3.989989995956421,8.475651025772095,8.285067081451416
no_suffix_8,no_suffix,8,state_data_20260701_165007.txt,u_data_20260701_165007.txt,state_data_20260630_231852.txt,u_data_20260630_231852.txt,0.3097890062858358,0.46566981555917886,33.47453583311183,9.210434570654991,12.262276210127565,24.888051673081872,9.044830465117476,12.097304457697945,25.232678926569225,12.43002923303045,15.374130538805037,19.149709301241693,12.757422432785344,21.895146408226537,41.734016320657844,3.9937729835510254,3.9861810207366943,5.870564937591553,7.745378017425537
no_suffix_9,no_suffix,9,state_data_20260701_165029.txt,u_data_20260701_165029.txt,state_data_20260630_231917.txt,u_data_20260630_231917.txt,0.3100053547297073,0.5270819860114218,41.18460449092458,10.637402423794489,15.335809431904673,30.636837455319448,10.491539374788667,15.187762344223465,30.92109859897147,13.821233948945382,18.509159968640795,25.327600105234094,13.456537417209788,26.62266279525243,49.45457740008837,3.9804961681365967,3.9960711002349854,5.389387130737305,8.346858978271484
no_suffix_10,no_suffix,10,state_data_20260701_165114.txt,u_data_20260701_165114.txt,state_data_20260630_231940.txt,u_data_20260630_231940.txt,0.32358859970149023,0.4615288219436163,29.887672380074637,9.825081323758747,12.879594588785054,23.71591158378567,9.623467875676353,12.736628808721143,24.44258194062402,13.103010689682359,16.070654839638635,18.466230402985914,23.753309471340575,22.37366354272123,-6.1663836411278465,3.9722719192504883,3.9960880279541016,11.732014894485474,7.966177940368652
