relative_time_s,absolute_time_s,state_cost,control_cost,total_cost,x_err,y_err,z_err,roll_err,pitch_err,yaw_err,vx_err,vy_err,vz_err,u_roll_rate,u_pitch_rate,u_yaw_rate,u_thrust
0,1782822538,26.21843184,15.77932868,41.99776052,-2.126611,-0.032097,0.36527,-0.000441,-0.032352,0.963427,0.038855,-0.012283,0.200081,0.111323,1.035287,3.141593,-2.171169
0.06466507912,1782822538,26.36714227,15.86182702,42.22896929,-2.124631,-0.032318,0.378091,-0.005561,-0.031505,0.964302,0.041199,-0.005647,0.155752,0.104916,1.065666,3.141593,-2.178647
0.1514818668,1782822538,26.37320315,16.84401014,43.21721329,-2.120479,-0.031484,0.386072,0.022302,0.017788,0.950043,0.070563,-0.007756,0.137557,0.204617,0.991286,3.141593,-2.360736
0.2246289253,1782822538,25.87268236,14.80559453,40.67827689,-2.104561,-0.028203,0.383114,0.096542,0.182705,0.881618,0.217843,-0.079008,-0.063508,0.512273,0.46098,2.51832,-2.372113
0.3013608456,1782822538,24.88201175,6.314350668,31.19636242,-2.079412,-0.021427,0.356847,0.167184,0.352308,0.817692,0.488102,-0.148366,-0.181556,0.454233,-0.039988,1.12371,-1.728222
0.3707339764,1782822538,23.31251206,2.982057967,26.29457002,-2.034727,-0.008307,0.315861,0.192674,0.510127,0.72094,0.799389,-0.168489,-0.005366,0.459457,-0.171907,-0.458011,-0.794811
0.4749028683,1782822538,21.62491021,3.705683613,25.33059382,-1.964477,0.0147,0.292207,0.141788,0.582492,0.617902,1.281309,-0.107321,0.610014,0.36778,-0.02335,-1.511469,-0.260727
0.5604569912,1782822538,18.54206766,4.407991836,22.95005949,-1.790623,0.077244,0.28864,0.054101,0.525696,0.484575,1.953177,0.054063,1.303059,0.205315,0.277886,-1.967321,-0.197172
0.6362919807,1782822538,15.64737236,4.923814482,20.57118684,-1.578823,0.158297,0.321209,0.003726,0.36678,0.405161,2.424307,0.193221,1.503657,0.034141,0.541498,-2.129664,-0.288911
0.7181260586,1782822539,13.55174531,5.442013294,18.9937586,-1.371683,0.239941,0.373319,-0.012997,0.169531,0.359193,2.814077,0.351779,1.152327,0,0.825855,-2.144274,-0.402574
0.7931849957,1782822539,11.97342411,3.790765431,15.76418954,-1.165388,0.323053,0.427342,-0.000372,-0.04525,0.319661,2.943799,0.467582,0.420616,0,1.26596,-1.325221,-0.657191
