label,samples,duration_s,sample_mean_x_m,sample_mean_y_m,sample_mean_z_m,sample_mean_roll_rad,sample_mean_pitch_rad,sample_mean_yaw_rad,sample_mean_vx_m_s,sample_mean_vy_m_s,sample_mean_vz_m_s,time_mean_x_m,time_mean_y_m,time_mean_z_m,time_mean_roll_rad,time_mean_pitch_rad,time_mean_yaw_rad,time_mean_vx_m_s,time_mean_vy_m_s,time_mean_vz_m_s
20260630_202940,173,13.170277833938599,-0.5159626300578037,0.12307247398843926,1.066799104046243,0.022505092485549133,-0.015911508670520227,0.32018846820809255,0.1382484624277457,-0.060838161849711005,0.0032567745664739763,-0.47349299419373386,0.12507818191820044,1.058556195931496,0.021988397167773743,-0.01499221524225071,0.3072588704080432,0.14214111618995628,-0.06323891573102927,0.0018171411805569127
20260630_203021,179,13.809473037719727,-0.48175894972067,0.12753891061452513,1.0821521731843573,0.016651491620111734,-0.004900407821229054,0.33074945810055867,0.1471615027932961,-0.07615607262569833,-0.015071273743016764,-0.41741258121256747,0.13438071315348002,1.0733519552882589,0.017390215483139414,-0.007810717758664853,0.3102436746615414,0.15807649521027106,-0.07723519632668405,-0.020300497163332175
20260630_203048,167,12.820449829101562,-0.6099323473053888,0.11050112574850297,1.0797066526946104,0.013749461077844317,0.006362976047904192,0.40119287425149713,0.15761408982035932,-0.08203779640718561,-0.00048615568862274904,-0.544085080371003,0.11428095689955255,1.0680682079613335,0.013971466881734243,0.008122174510427783,0.3908188567972685,0.15905138866070997,-0.08798263641406563,0.0020038584870242385
20260630_203113,230,17.719395875930786,-0.2194665347826087,0.11204076521739134,1.051107191304348,0.01700599130434783,-0.011724530434782611,0.2508168565217391,0.10095437391304349,-0.05845920869565219,-0.02118402173913043,-0.16500226466828485,0.11399554957646094,1.0433533393562382,0.018625712675782335,-0.007064618307238185,0.23430370940531361,0.11264346999182587,-0.06164132628354537,-0.016175806968647552
20260630_203141,173,13.36311388015747,-0.5180489364161845,0.126063936416185,1.1116616473988434,0.018739473988439306,-0.006541086705202307,0.37897249710982633,0.15300144508670516,-0.06868823699421968,-0.0026341849710982603,-0.4675016362829255,0.13343168788157933,1.1059252238898822,0.019251112980183303,-0.0070918410067612,0.3733093429549686,0.1572654260503254,-0.07651050104927905,-0.013198075689778169
20260630_203205,205,15.743813037872314,-0.34649446829268316,0.11677467804878049,1.0785378878048781,0.01849524390243901,-0.00819407317073171,0.24750194146341456,0.12663760000000002,-0.0548477512195122,-0.016902229268292688,-0.29838184197355777,0.11816467514530084,1.0698520844806536,0.017974475405674553,-0.005032193983757356,0.23356896135317506,0.12743073599009205,-0.05948566273977029,-0.009042133627265251
20260630_203232,235,18.25229501724243,-0.20931733191489377,0.1172520340425531,1.054414617021276,0.02007711914893618,-0.010117314893617023,0.23176040425531894,0.11399890638297872,-0.050581191489361736,-0.00501782553191489,-0.1423111445264852,0.12146162846595147,1.0447525335667551,0.019601070189036545,-0.009692304077389476,0.20850176526393716,0.11958518179896768,-0.054214616233944926,-0.006481730668245423
20260630_212600,225,16.98192310333252,-0.27761452888888877,0.10372160000000005,1.069269386666667,0.02006930666666667,0.003591004444444444,0.17621515555555553,0.12072127555555563,-0.03183320444444442,-0.013545279999999996,-0.21761780230504302,0.1071780545284376,1.060076322650466,0.019670483264651387,0.0036220844170626737,0.15879926365698044,0.1225786622355503,-0.03673579378453767,-0.011094063247476233
20260630_212629,195,14.787568807601929,-0.4010224410256405,0.09026011794871788,1.0728335846153851,0.016441830769230774,0.0005973487179487164,0.2671871641025641,0.1386559282051282,-0.04887710256410257,-0.0027569948717948733,-0.3442858792667234,0.0937801404551777,1.0662920978190156,0.01623466312431378,0.0004558663699304975,0.25969148533901476,0.14548881318557524,-0.05469132162957626,-0.003608305905647886
20260630_212654,177,13.572012901306152,-0.49430599999999997,0.07292218079096041,1.1008259152542375,0.014204745762711855,-8.785310734463591e-05,0.3116216497175144,0.13387280225988704,-0.053347604519774015,-0.0049742259887005725,-0.4555666820237424,0.07547642577732959,1.096111043592061,0.014156448760326457,-0.000338987668033823,0.3010817429154419,0.14372801398845736,-0.05324807848272963,-0.0021732980660146856
