label,samples,duration_s,integrated_cost,mean_cost,max_cost,final_cost,mse_duration_s,target_position_mse_integral,target_position_time_mse,target_position_sample_mse,detail_csv
20260630_235537,60,4.874192953109741,13.947849364081957,2.9801343409940966,18.4955133845597,2.1052854014938,6.985179901123047,0.2627178370600276,0.03761074743655335,0.039200174320387596,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235537.csv
20260630_235603,62,4.953042984008789,15.604976921153856,3.2186224695467365,18.467631650305602,0.9604163759519998,7.1438820362091064,0.27403372785309343,0.03835921792439187,0.03913233262125758,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235603.csv
20260630_235629,62,4.935072183609009,13.027083722908182,2.8403836427047175,18.628650915941403,1.2164851905991998,5.763972043991089,0.25200426966203365,0.043720591935338546,0.047562121725384265,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235629.csv
20260630_235653,64,4.983764886856079,13.058948373809622,2.796047922860825,18.379073734663297,0.7867374145534001,7.4993720054626465,0.2673067220548764,0.03564388082897694,0.03835080958920139,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235653.csv
20260630_235718,63,4.985452175140381,12.782543915578225,2.7610510470253007,17.6930725060991,0.5733578315044,9.22110104560852,0.2653231737686032,0.028773480786761507,0.03183411589283775,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235718.csv
20260630_235744,62,4.868210792541504,13.229140325137374,2.9065754595896314,18.6750852871574,0.7985058402886,6.2935028076171875,0.274858131005624,0.043673315069146575,0.04829424046271368,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235744.csv
20260630_235812,64,4.967566967010498,12.570737340565755,2.809051466117961,18.4592793691596,1.0385534353791999,9.131597995758057,0.2886313015814931,0.03160797285596369,0.03697690813246547,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235812.csv
20260630_235920,63,4.9311769008636475,12.821617516011267,2.806625479755115,18.4672339907071,1.1233643311294998,9.200201988220215,0.30445638434637823,0.033092358704319653,0.03609507689738792,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235920.csv
20260630_235946,63,4.9398839473724365,14.502447824546385,2.95456359682356,19.4711413496378,0.8060496460166999,7.403921127319336,0.3128987250512491,0.042261218031713045,0.04512144268423755,D:\semixcode\hnn_exp\performance_outputs\performance_20260630_235946.csv
20260701_000206,64,4.999933958053589,12.942544287236931,2.8059251949556514,18.887254242145698,0.9592246687652999,6.9960808753967285,0.30631750301425,0.04378415694013536,0.04774117161040448,D:\semixcode\hnn_exp\performance_outputs\performance_20260701_000206.csv
