scope,metric,count,mean,variance
all,hnn_mse,5,0.07702569768297049,0.001057090857603841
all,lqr_mse,5,0.11871494675770622,0.0013148835707179872
all,mse_improvement_pct,5,32.887889180533776,415.6912704937098
all,hnn_j_4s_u0_old,5,6.918903150797999,3.410453738591174
all,lqr_j_4s_u0_old,5,9.501721205743163,13.105698283584044
all,j_4s_u0_old_improvement_pct,5,22.281813744010332,195.1630648530502
all,hnn_j_4s_u0_new,5,6.895096953420415,3.189735806201579
all,lqr_j_4s_u0_new,5,9.489879319858785,12.855151803855723
all,j_4s_u0_new_improvement_pct,5,22.492057024076313,189.21247532160436
all,hnn_j_4s_no_u0,5,9.486443487315643,3.4344151399297425
all,lqr_j_4s_no_u0,5,11.501945036171934,10.99576438566164
all,j_4s_no_u0_improvement_pct,5,14.109281649610683,181.50770166970665
all,hnn_j_full_u0_old,5,7.337288284638726,3.533935443643453
all,lqr_j_full_u0_old,5,9.840369971056685,13.673183567759299
all,j_full_u0_old_improvement_pct,5,20.138951709911318,236.2513679168589
all,hnn_j_4s_duration,5,3.985103225708008,0.0003574488806771115
all,lqr_j_4s_duration,5,3.9920687675476074,9.669621454122534e-06
all,hnn_full_duration,5,9.22227759361267,3.3866938865673633
all,lqr_full_duration,5,7.193535184860229,2.6197941303522296
no_suffix,hnn_mse,1,0.1413860508230959,0.0
no_suffix,lqr_mse,1,0.16305407536078845,0.0
no_suffix,mse_improvement_pct,1,13.288857999867757,0.0
no_suffix,hnn_j_4s_u0_old,1,9.180750562283366,0.0
no_suffix,lqr_j_4s_u0_old,1,11.370889536831097,0.0
no_suffix,j_4s_u0_old_improvement_pct,1,19.26092912479467,0.0
no_suffix,hnn_j_4s_u0_new,1,9.000973656705415,0.0
no_suffix,lqr_j_4s_u0_new,1,11.20281694305481,0.0
no_suffix,j_4s_u0_new_improvement_pct,1,19.65437173116024,0.0
no_suffix,hnn_j_4s_no_u0,1,12.443291365834902,0.0
no_suffix,lqr_j_4s_no_u0,1,14.577810480552388,0.0
no_suffix,j_4s_no_u0_improvement_pct,1,14.642247665141852,0.0
no_suffix,hnn_j_full_u0_old,1,9.380861683254025,0.0
no_suffix,lqr_j_full_u0_old,1,12.228365519526552,0.0
no_suffix,j_full_u0_old_improvement_pct,1,23.286054311392338,0.0
no_suffix,hnn_j_4s_duration,1,3.999124050140381,0.0
no_suffix,lqr_j_4s_duration,1,3.991687059402466,0.0
no_suffix,hnn_full_duration,1,6.39092493057251,0.0
no_suffix,lqr_full_duration,1,9.446300029754639,0.0
with_suffix,hnn_mse,4,0.06093560939793914,2.690886690428516e-05
with_suffix,lqr_mse,4,0.10763016460693565,0.0010292424867472763
with_suffix,mse_improvement_pct,4,37.78764697570029,399.5759558606625
with_suffix,hnn_j_4s_u0_old,4,6.353441297926657,2.6643316379755126
with_suffix,lqr_j_4s_u0_old,4,9.034429122971181,15.290313401373163
with_suffix,j_4s_u0_old_improvement_pct,4,23.037034898814248,241.10203610299592
with_suffix,hnn_j_4s_u0_new,4,6.3686277775991655,2.6013207923024426
with_suffix,lqr_j_4s_u0_new,4,9.06164491405978,15.152016223269515
with_suffix,j_4s_u0_new_improvement_pct,4,23.201478347305333,233.9992010827454
with_suffix,hnn_j_4s_no_u0,4,8.74723151768583,1.5608472446922277
with_suffix,lqr_j_4s_no_u0,4,10.73297867507682,10.78815915959775
with_suffix,j_4s_no_u0_improvement_pct,4,13.97604014572789,226.79586059534853
with_suffix,hnn_j_full_u0_old,4,6.826394934984902,3.112359230951791
with_suffix,lqr_j_full_u0_old,4,9.24337108393922,15.309441103601651
with_suffix,j_full_u0_old_improvement_pct,4,19.35217605954106,292.2191302759959
with_suffix,hnn_j_4s_duration,4,3.9815980195999146,0.00038537875154531775
with_suffix,lqr_j_4s_duration,4,3.992164194583893,1.2041495221382092e-05
with_suffix,hnn_full_duration,4,9.930115759372711,1.7281930136765133
with_suffix,lqr_full_duration,4,6.630343973636627,1.6888209609427456
